# MCL bifurcation sweep (coarse step-0.25) — Doc ID MCL-BIFSWEEP-2026-0719-001
# engine v6.0.0 frozen copy, seed 12345678901234, (p,q)=(3,5), QR 1e5 iters
K,lmax,l2,th_min,th_max,buckets,class
0.500,0.502614,-0.342301,0.002580,6.281903,197,CHAOTIC
0.750,0.000010,-0.086860,0.095072,6.143510,191,QUASI-PERIODIC
1.000,1.218577,0.558664,0.020497,6.280497,196,CHAOTIC
1.250,1.609166,0.697936,0.000176,6.248238,196,CHAOTIC
1.500,1.854307,0.760162,0.005460,6.271576,195,CHAOTIC
1.750,2.139627,0.848225,0.069774,6.245291,197,CHAOTIC
2.000,2.337100,0.889981,0.015076,6.258429,194,CHAOTIC
2.250,2.549743,0.898203,0.002206,6.282775,198,CHAOTIC
2.500,2.716517,0.939567,0.115434,6.232784,197,CHAOTIC
2.750,2.901821,0.956407,0.010334,6.114574,196,CHAOTIC
3.000,3.047254,0.972686,0.109761,6.216588,199,CHAOTIC
3.250,3.241603,0.977795,0.013863,6.274640,196,CHAOTIC
3.500,3.363369,0.981175,0.037691,6.131036,198,CHAOTIC
3.750,3.475643,0.989453,0.004852,6.283167,199,CHAOTIC
4.000,3.609892,0.994226,0.032453,6.273264,196,CHAOTIC
4.250,3.718696,0.996709,0.020084,6.261243,196,CHAOTIC
4.500,3.854419,1.000095,0.008436,6.270965,195,CHAOTIC
4.750,3.961755,1.001123,0.002952,6.255538,196,CHAOTIC
5.000,4.045640,0.997367,0.000188,6.282005,195,CHAOTIC
5.250,4.153606,1.004673,0.009543,6.256028,196,CHAOTIC
5.500,4.229273,1.001998,0.014789,6.207391,198,CHAOTIC
5.750,4.315927,1.006152,0.024468,6.260704,199,CHAOTIC
6.000,4.413502,1.009769,0.022337,6.231106,197,CHAOTIC
6.250,4.493688,1.007875,0.014581,6.259088,197,CHAOTIC
6.500,4.561951,1.010035,0.014553,6.207063,195,CHAOTIC
6.750,4.643394,1.010406,0.081452,6.272103,199,CHAOTIC
7.000,4.698063,1.010913,0.003078,6.231266,196,CHAOTIC
7.250,4.788196,1.014461,0.027190,6.281501,197,CHAOTIC
7.500,4.856007,1.019351,0.000433,6.275990,197,CHAOTIC
7.750,4.911061,1.014497,0.022426,6.221769,196,CHAOTIC
8.000,4.985337,1.013916,0.088528,6.197356,198,CHAOTIC
