# MCL bifurcation sweep (fine step-0.005) — Doc ID MCL-BIFSWEEP-2026-0719-001
# engine v6.0.0 frozen copy, seed 12345678901234, (p,q)=(3,5), QR 1e5 iters
K,lmax,l2,th_min,th_max,buckets,class
0.500,0.502614,-0.342301,0.002580,6.281903,197,CHAOTIC
0.505,0.502866,-0.375588,0.020056,6.246072,197,CHAOTIC
0.510,-0.676422,-1.389916,0.210249,6.250842,32,QUASI-PERIODIC
0.515,-0.361320,-0.361322,0.218898,6.235410,32,QUASI-PERIODIC
0.520,-0.252467,-0.252487,0.225381,6.227387,32,QUASI-PERIODIC
0.525,-0.197819,-0.197833,0.231385,6.222431,32,QUASI-PERIODIC
0.530,-0.158477,-0.158490,0.237278,6.219484,32,QUASI-PERIODIC
0.535,-0.121951,-0.121949,0.243194,6.218073,32,QUASI-PERIODIC
0.540,-0.082780,-0.082828,0.249180,6.217913,32,QUASI-PERIODIC
0.545,0.454896,-0.266843,0.004363,6.270968,198,CHAOTIC
0.550,0.504531,-0.315900,0.008022,6.275441,196,CHAOTIC
0.555,-0.210601,-0.210598,0.141300,6.175135,32,QUASI-PERIODIC
0.560,-0.067426,-0.067448,0.116871,6.164044,32,QUASI-PERIODIC
0.565,-0.000002,-0.050762,0.076944,6.168837,192,QUASI-PERIODIC
0.570,-0.129809,-0.331016,0.055995,6.184081,96,QUASI-PERIODIC
0.575,0.509205,-0.217749,0.010199,6.270550,197,CHAOTIC
0.580,0.570850,-0.097547,0.022742,6.259308,193,CHAOTIC
0.585,0.592308,-0.014139,0.011807,6.268568,198,CHAOTIC
0.590,0.600557,-0.000376,0.002368,6.222264,198,CHAOTIC
0.595,0.611067,0.016726,0.084957,6.269406,197,CHAOTIC
0.600,0.634668,0.063656,0.002715,6.275253,196,CHAOTIC
0.605,0.637877,0.109208,0.020391,6.228165,194,CHAOTIC
0.610,0.639331,0.136165,0.020218,6.267500,198,CHAOTIC
0.615,0.647040,0.161338,0.097317,6.252209,198,CHAOTIC
0.620,0.645414,0.175101,0.033671,6.224293,197,CHAOTIC
0.625,0.647592,0.177614,0.062974,6.268168,194,CHAOTIC
0.630,0.647686,0.208863,0.040317,6.268349,196,CHAOTIC
0.635,0.641461,0.208425,0.028613,6.250692,194,CHAOTIC
0.640,-0.139414,-0.681201,0.046734,5.937220,16,QUASI-PERIODIC
0.645,-0.369801,-0.733818,0.065535,5.956021,16,QUASI-PERIODIC
0.650,-0.571366,-0.779837,0.078522,5.969008,16,QUASI-PERIODIC
0.655,-0.800868,-0.847083,0.089453,5.979939,16,QUASI-PERIODIC
0.660,-0.956706,-1.109044,0.099178,5.989664,16,QUASI-PERIODIC
0.665,-1.163977,-1.651992,0.108063,5.998549,16,QUASI-PERIODIC
0.670,-2.355087,-2.355138,0.116310,6.006796,16,QUASI-PERIODIC
0.675,-1.261635,-1.261624,0.124043,6.014530,16,QUASI-PERIODIC
0.680,-0.935710,-0.935709,0.131349,6.021836,16,QUASI-PERIODIC
0.685,-0.734424,-0.734437,0.138289,6.028775,16,QUASI-PERIODIC
0.690,-0.587117,-0.587127,0.144910,6.035396,16,QUASI-PERIODIC
0.695,-0.470184,-0.470199,0.151247,6.041733,16,QUASI-PERIODIC
0.700,-0.372817,-0.372831,0.157331,6.047817,16,QUASI-PERIODIC
0.705,-0.289143,-0.289157,0.163185,6.053671,16,QUASI-PERIODIC
0.710,-0.215615,-0.215628,0.168830,6.059316,16,QUASI-PERIODIC
0.715,-0.149927,-0.149927,0.174282,6.064768,16,QUASI-PERIODIC
0.720,-0.090471,-0.090480,0.179556,6.070043,16,QUASI-PERIODIC
0.725,-0.036121,-0.036127,0.184666,6.075152,16,QUASI-PERIODIC
0.730,-0.000030,-0.030111,0.169843,6.095618,193,QUASI-PERIODIC
0.735,-0.000001,-0.193023,0.149503,6.114562,193,QUASI-PERIODIC
0.740,0.000011,-0.327761,0.142345,6.126812,197,QUASI-PERIODIC
0.745,-0.063476,-0.063527,0.115788,6.125700,80,QUASI-PERIODIC
0.750,0.000010,-0.086860,0.095072,6.143510,191,QUASI-PERIODIC
