==============================================================
 MCL PER-BIT CHI-SQUARE — FULL 52-POSITION XOR TABLE
 Doc ID: MCL-PERBIT-MSBFLANK-2026-0719-001
 Engine: mcl_core.hpp v6.0.0 (frozen M1_M2_apple_verification copy)
 Config: seed 12345678901234, (p,q)=(3,5), K=12, burn-in 10000
 N = 100000000 XOR-mixed mantissa samples (one per iterate())
==============================================================

 bit |        ones |  chi2(df=1) | vs published | match
-----|-------------|-------------|--------------|------
   0 |    19301953 | 37694803.585 | 37721027.000 | ***DIFF***
   1 |    33092679 | 11434300.136 | 11448581.000 | ***DIFF***
   2 |    45086528 |  965688.284 |            - |    - 
   3 |    49053168 |   35859.633 |            - |    - 
   4 |    49761063 |    2283.636 |            - |    - 
   5 |    49925557 |     221.670 |      242.412 | ***DIFF***
   6 |    49983125 |      11.391 |       18.003 | ***DIFF***
   7 |    49998846 |       0.053 |        0.149 | ***DIFF***
   8 |    50001135 |       0.052 |        0.053 | ***DIFF***
   9 |    49995138 |       0.946 |            - |    - 
  10 |    49995290 |       0.887 |            - |    - 
  11 |    49996059 |       0.621 |            - |    - 
  12 |    49995731 |       0.729 |            - |    - 
  13 |    49997473 |       0.255 |            - |    - 
  14 |    50002533 |       0.257 |            - |    - 
  15 |    49998340 |       0.110 |            - |    - 
  16 |    50003391 |       0.460 |            - |    - 
  17 |    50000343 |       0.005 |        0.486 | ***DIFF***
  18 |    50003346 |       0.448 |            - |    - 
  19 |    50003322 |       0.441 |            - |    - 
  20 |    50000569 |       0.013 |            - |    - 
  21 |    49994570 |       1.179 |            - |    - 
  22 |    49990129 |       3.897 |            - |    - 
  23 |    50001419 |       0.081 |            - |    - 
  24 |    49998556 |       0.083 |            - |    - 
  25 |    50001193 |       0.057 |            - |    - 
  26 |    50010909 |       4.760 |            - |    - 
  27 |    49993202 |       1.849 |        2.101 | ***DIFF***
  28 |    50000388 |       0.006 |            - |    - 
  29 |    50006939 |       1.926 |            - |    - 
  30 |    50001517 |       0.092 |            - |    - 
  31 |    50001368 |       0.075 |            - |    - 
  32 |    49997419 |       0.266 |            - |    - 
  33 |    50006329 |       1.602 |            - |    - 
  34 |    50002759 |       0.304 |            - |    - 
  35 |    49995754 |       0.721 |            - |    - 
  36 |    50004397 |       0.773 |            - |    - 
  37 |    50005008 |       1.003 |            - |    - 
  38 |    50000939 |       0.035 |        0.012 | ***DIFF***
  39 |    50000216 |       0.002 |        0.010 | ***DIFF***
  40 |    50005695 |       1.297 |        0.358 | ***DIFF***
  41 |    49990584 |       3.546 |        7.484 | ***DIFF***
  42 |    49998797 |       0.058 |        0.771 | ***DIFF***
  43 |    50004321 |       0.747 |        0.395 | ***DIFF***
  44 |    50004788 |       0.917 |            - |    - 
  45 |    50004863 |       0.946 |            - |    - 
  46 |    49999449 |       0.012 |        0.000 | ***DIFF***
  47 |    49984747 |       9.306 |       35.748 | ***DIFF***
  48 |    49972780 |      29.637 |            - |    - 
  49 |    49846361 |     944.198 |            - |    - 
  50 |    49897742 |     418.268 |            - |    - 
  51 |    46170355 |  586647.233 |   584587.000 | ***DIFF***

 Validation: 17 published values checked, 17 mismatches.
 Thresholds: nominal 3.841 (alpha=0.05, df=1); Bonferroni 10.90 (0.05/52).
 PROTOCOL REPRODUCTION FAILED — do NOT cite new values; investigate.
