==============================================================
 MCL PER-BIT CHI-SQUARE — FULL 52-POSITION XOR TABLE
 Doc ID: MCL-PERBIT-MSBFLANK-2026-0719-001
 Engine: mcl_core.hpp v6.0.0 (frozen M1_M2_apple_verification copy)
 Config: seed 12345678901234, (p,q)=(3,5), K=12, burn-in 10000
 N = 100000000 XOR-mixed mantissa samples (one per iterate())
==============================================================

 stride (iterations per sample) = 2

 bit |        ones |  chi2(df=1) | vs published | match
-----|-------------|-------------|--------------|------
   0 |    19299340 | 37701220.977 | 37721027.000 | ***DIFF***
   1 |    33088433 | 11440043.936 | 11448581.000 | ***DIFF***
   2 |    45083873 |  966732.187 |            - |    - 
   3 |    49059257 |   35399.896 |            - |    - 
   4 |    49758808 |    2326.943 |            - |    - 
   5 |    49926055 |     218.715 |      242.412 | ***DIFF***
   6 |    49983212 |      11.273 |       18.003 | ***DIFF***
   7 |    50006857 |       1.881 |        0.149 | ***DIFF***
   8 |    50001958 |       0.153 |        0.053 | ***DIFF***
   9 |    49998599 |       0.079 |            - |    - 
  10 |    50001154 |       0.053 |            - |    - 
  11 |    50002264 |       0.205 |            - |    - 
  12 |    49999052 |       0.036 |            - |    - 
  13 |    49996357 |       0.531 |            - |    - 
  14 |    49997000 |       0.360 |            - |    - 
  15 |    49997431 |       0.264 |            - |    - 
  16 |    50007531 |       2.269 |            - |    - 
  17 |    50002163 |       0.187 |        0.486 | ***DIFF***
  18 |    50000110 |       0.000 |            - |    - 
  19 |    50001338 |       0.072 |            - |    - 
  20 |    49998943 |       0.045 |            - |    - 
  21 |    49991880 |       2.637 |            - |    - 
  22 |    49987554 |       6.196 |            - |    - 
  23 |    49993981 |       1.449 |            - |    - 
  24 |    49998645 |       0.073 |            - |    - 
  25 |    50000013 |       0.000 |            - |    - 
  26 |    50010579 |       4.477 |            - |    - 
  27 |    49994546 |       1.190 |        2.101 | ***DIFF***
  28 |    49997639 |       0.223 |            - |    - 
  29 |    50005703 |       1.301 |            - |    - 
  30 |    50002480 |       0.246 |            - |    - 
  31 |    49994053 |       1.415 |            - |    - 
  32 |    49999698 |       0.004 |            - |    - 
  33 |    49997520 |       0.246 |            - |    - 
  34 |    50007925 |       2.512 |            - |    - 
  35 |    49995358 |       0.862 |            - |    - 
  36 |    50005580 |       1.245 |            - |    - 
  37 |    50004243 |       0.720 |            - |    - 
  38 |    50000434 |       0.008 |        0.012 | ***DIFF***
  39 |    50002873 |       0.330 |        0.010 | ***DIFF***
  40 |    49998172 |       0.134 |        0.358 | ***DIFF***
  41 |    49992293 |       2.376 |        7.484 | ***DIFF***
  42 |    50000859 |       0.030 |        0.771 | ***DIFF***
  43 |    50005111 |       1.045 |        0.395 | ***DIFF***
  44 |    50005990 |       1.435 |            - |    - 
  45 |    50009072 |       3.292 |            - |    - 
  46 |    49992859 |       2.040 |        0.000 | ***DIFF***
  47 |    49988821 |       4.999 |       35.748 | ***DIFF***
  48 |    49967388 |      42.542 |            - |    - 
  49 |    49846703 |     939.999 |            - |    - 
  50 |    49894661 |     443.852 |            - |    - 
  51 |    46169125 |  587024.131 |   584587.000 | ***DIFF***

 Validation: 17 published values checked, 17 mismatches.
 Thresholds: nominal 3.841 (alpha=0.05, df=1); Bonferroni 10.90 (0.05/52).
 PROTOCOL REPRODUCTION FAILED — do NOT cite new values; investigate.
