update,p,q,K,mode,lambda1_engine,inv_lambda1,slope_t_sat,intercept_t_sat,slope_t_dec,intercept_t_dec,ratio_slope_tdec_to_invlambda,growth_slope_mean,growth_over_lambda,n_points
gs,17,23,12,omega,9.2497,0.10811161443073829,0.11787949482769575,1.60000454975947,0.09926701391897128,2.4000026885023975,0.9181900986463086,nan,nan,6
gs,2,3,12,omega,4.9702,0.20119914691561708,0.19853384820896636,1.4666749389522562,0.24816731026120803,2.3333436736903197,1.2334411654602562,4.963066666666666,0.9985647794186685,6
gs,3,5,12,K,5.7778,0.17307625739901,0.15200302764997783,2.1433057866971876,0.17371770546889342,2.9923501237329786,1.0037061586581724,5.759399999999999,0.9968153968638581,5
gs,3,5,12,omega,5.7778,0.17307625739901,0.21714650874666716,1.0000072382618657,0.2171465087466672,2.000007238261866,1.2546290982364936,5.779299999999999,1.0002596143860985,6
gs,3,5,20,K,6.8015,0.14702639123722708,0.13028023964010182,1.9565335964066586,0.17370968932783873,2.4753357293425533,1.181486451963295,6.7956,0.9991325442917004,5
gs,3,5,20,omega,6.8015,0.14702639123722708,0.16130602512281653,1.4000345374316674,0.16130602512281664,2.400034537431666,1.0971229298728373,6.79455,0.9989781665809013,6
gs,3,5,6,K,4.4139,0.22655701307233966,0.26057792564398763,1.4208264012388863,0.21714819278109343,3.3506899884341967,0.9584704081164683,4.412066666666667,0.9995846454760341,5
gs,3,5,6,omega,4.4139,0.22655701307233966,0.21714785596566044,1.9999927618908213,0.24816877295366324,2.6666617034684434,1.0953921469401742,4.414633333333334,1.0001661418095864,6
gs,7,11,12,omega,7.4747,0.13378463349699654,0.13028781543351217,1.7333391239308509,0.15510472608860917,2.000003929352421,1.159361296094527,7.4845,1.0013110894082704,6
jacobi,3,5,12,K,3.5864,0.2788311398616998,0.2729855835380001,1.5699672015467085,0.2729855835380001,2.5699672015467088,0.9790354968006836,3.58565,0.9997908766451037,6
jacobi,3,5,12,omega,3.5864,0.2788311398616998,0.27298422091630503,1.6000084791118894,0.27298422091630486,2.600008479111891,0.9790306098942357,3.58425,0.9994005130492973,6
jacobi,3,5,20,K,4.0996,0.24392623670602012,0.21713573079420354,1.9762381253081933,0.24815417153446231,2.3061923119063223,1.0173328416226817,4.091433333333334,0.9980079357335677,6
jacobi,3,5,20,omega,4.0996,0.24392623670602012,0.21714246705625845,2.000050668452699,0.2667746203895984,1.8667355340593696,1.0936692337491976,4.090266666666667,0.9977233551240774,6
jacobi,3,5,6,K,2.8917,0.3458173392813915,0.3536414496650449,1.427749645405675,0.38466252703854154,2.0910042003834106,1.1123286294373507,2.890275,0.9995072102915239,6
jacobi,3,5,6,omega,2.8917,0.3458173392813915,0.35364089664762133,1.4666532244255843,0.35364089664762133,2.466653224425585,1.0226233808359266,2.88795,0.9987031849776947,6
