mode,update,p,q,K,delta,t,mean_ln_d,frac_d_gt_1,r_cos1,r_cos2,r_sin1
K,gs,3,5,12,1.000e-12,1,-25.408602,0.000000,1.000000,1.000000,1.000000
K,gs,3,5,12,1.000e-12,2,-19.617059,0.000000,1.000000,1.000000,1.000000
K,gs,3,5,12,1.000e-12,3,-13.851586,0.000000,1.000000,1.000000,1.000000
K,gs,3,5,12,1.000e-12,4,-8.063209,0.000000,1.000000,0.999988,1.000000
K,gs,3,5,12,1.000e-12,5,-2.408561,0.199219,0.992397,0.714602,0.992668
K,gs,3,5,12,1.000e-12,6,0.343255,0.789368,0.300885,0.094409,0.303920
K,gs,3,5,12,1.000e-12,7,0.749365,0.911987,0.027727,0.010742,0.026621
K,gs,3,5,12,1.000e-12,8,0.774507,0.920166,-0.003624,-0.010150,0.009778
K,gs,3,5,12,1.000e-12,9,0.772553,0.917847,-0.007536,-0.000730,-0.000838
K,gs,3,5,12,1.000e-12,10,0.771901,0.917358,-0.003194,-0.004176,0.000816
K,gs,3,5,12,1.000e-12,11,0.780391,0.922241,-0.030103,0.004592,-0.002269
K,gs,3,5,12,1.000e-12,12,0.779526,0.921692,0.011464,-0.006960,0.000864
K,gs,3,5,12,1.000e-12,13,0.773538,0.922241,-0.012561,0.014317,0.005217
K,gs,3,5,12,1.000e-12,14,0.778021,0.920654,-0.004483,0.001136,0.012447
K,gs,3,5,12,1.000e-12,15,0.774278,0.918823,0.009981,-0.003958,0.002424
K,gs,3,5,12,1.000e-12,16,0.777816,0.921082,0.010252,-0.015584,0.005480
K,gs,3,5,12,1.000e-12,17,0.778098,0.921204,0.004389,-0.004867,0.009151
K,gs,3,5,12,1.000e-12,18,0.777922,0.921875,0.000917,-0.001632,0.007959
K,gs,3,5,12,1.000e-12,19,0.777494,0.920776,0.007027,-0.001089,0.003588
K,gs,3,5,12,1.000e-12,20,0.775811,0.919495,-0.002522,0.002860,-0.010658
K,gs,3,5,12,1.000e-12,21,0.775447,0.919678,-0.002146,0.001083,-0.003680
K,gs,3,5,12,1.000e-12,22,0.771872,0.919189,0.000962,0.005505,0.004284
K,gs,3,5,12,1.000e-12,23,0.779837,0.922180,0.006540,-0.000406,0.000187
K,gs,3,5,12,1.000e-12,24,0.783005,0.923767,-0.002410,-0.017526,-0.014043
K,gs,3,5,12,1.000e-12,25,0.777977,0.922363,-0.000721,-0.006126,0.005075
K,gs,3,5,12,1.000e-12,26,0.779001,0.921143,-0.012069,-0.004228,-0.005760
K,gs,3,5,12,1.000e-12,27,0.781615,0.923340,-0.009531,-0.007876,0.001491
K,gs,3,5,12,1.000e-12,28,0.781515,0.923462,-0.019323,0.004271,-0.002762
K,gs,3,5,12,1.000e-12,29,0.779294,0.920349,0.004898,-0.013678,0.005146
K,gs,3,5,12,1.000e-12,30,0.773637,0.919617,0.000095,0.002444,0.004690
K,gs,3,5,12,1.000e-12,31,0.781498,0.922058,0.007665,-0.005634,-0.000318
K,gs,3,5,12,1.000e-12,32,0.772915,0.916321,0.004505,-0.000898,-0.003800
K,gs,3,5,12,1.000e-12,33,0.780429,0.923462,-0.010446,0.016663,-0.016951
K,gs,3,5,12,1.000e-12,34,0.780914,0.923706,-0.014380,-0.010237,0.006614
K,gs,3,5,12,1.000e-12,35,0.777960,0.921509,-0.011372,0.000377,0.004314
K,gs,3,5,12,1.000e-12,36,0.778201,0.922546,-0.004343,0.007769,0.007974
K,gs,3,5,12,1.000e-12,37,0.779680,0.922180,0.000407,0.005768,-0.020746
K,gs,3,5,12,1.000e-12,38,0.776056,0.921265,-0.001639,0.004326,0.007429
K,gs,3,5,12,1.000e-12,39,0.777409,0.918762,0.002951,0.000003,-0.003180
K,gs,3,5,12,1.000e-12,40,0.774681,0.922607,0.010845,0.005618,-0.005004
K,gs,3,5,12,1.000e-12,41,0.776049,0.920471,-0.003530,-0.007652,0.004230
K,gs,3,5,12,1.000e-12,42,0.781807,0.923889,-0.008002,0.001110,0.000635
K,gs,3,5,12,1.000e-12,43,0.780418,0.919495,-0.005323,-0.000770,0.007146
K,gs,3,5,12,1.000e-12,44,0.781933,0.921326,0.001738,-0.006441,-0.006810
K,gs,3,5,12,1.000e-12,45,0.777290,0.919250,-0.013191,0.003661,0.000916
K,gs,3,5,12,1.000e-12,46,0.773368,0.920288,-0.004719,0.011297,0.001931
K,gs,3,5,12,1.000e-12,47,0.775624,0.920288,-0.003003,0.005835,-0.002047
K,gs,3,5,12,1.000e-12,48,0.779832,0.919983,-0.005619,0.013312,-0.014467
K,gs,3,5,12,1.000e-12,49,0.779028,0.923279,-0.018201,0.007815,0.001020
K,gs,3,5,12,1.000e-12,50,0.770430,0.919434,-0.017708,0.021343,0.017595
K,gs,3,5,12,1.000e-12,51,0.781229,0.923218,-0.003558,-0.003703,-0.000135
K,gs,3,5,12,1.000e-12,52,0.774918,0.921692,-0.002145,0.000983,0.003919
K,gs,3,5,12,1.000e-12,53,0.774075,0.920166,0.004126,-0.002675,0.017871
K,gs,3,5,12,1.000e-12,54,0.783727,0.924988,-0.015430,-0.009588,-0.005367
K,gs,3,5,12,1.000e-12,55,0.769275,0.917786,0.005554,0.008113,0.012088
K,gs,3,5,12,1.000e-12,56,0.781106,0.919495,-0.007128,0.001451,-0.019267
K,gs,3,5,12,1.000e-12,57,0.772587,0.919495,0.016469,-0.006531,0.000204
K,gs,3,5,12,1.000e-12,58,0.773261,0.920776,-0.002292,0.002211,0.001573
K,gs,3,5,12,1.000e-12,59,0.778547,0.921021,-0.006803,0.004815,0.006578
K,gs,3,5,12,1.000e-12,60,0.776122,0.919495,-0.004437,-0.003419,0.009344
K,gs,3,5,12,1.000e-12,61,0.778946,0.921387,-0.015523,0.010413,0.007830
K,gs,3,5,12,1.000e-12,62,0.778901,0.921448,-0.005158,-0.001219,-0.003337
K,gs,3,5,12,1.000e-12,63,0.777210,0.917419,-0.001002,-0.003423,0.008099
K,gs,3,5,12,1.000e-12,64,0.776635,0.920654,0.008355,-0.012147,0.003013
K,gs,3,5,12,1.000e-12,65,0.776713,0.921265,-0.008658,0.000121,0.014960
K,gs,3,5,12,1.000e-12,66,0.778360,0.921570,0.001466,-0.005398,0.003502
K,gs,3,5,12,1.000e-12,67,0.773595,0.917847,0.006216,0.008958,-0.006079
K,gs,3,5,12,1.000e-12,68,0.776170,0.920532,-0.008878,-0.002345,0.000554
K,gs,3,5,12,1.000e-12,69,0.773545,0.920532,0.016071,-0.002763,-0.004857
K,gs,3,5,12,1.000e-12,70,0.774147,0.920227,-0.015898,0.002471,0.005943
K,gs,3,5,12,1.000e-12,71,0.776140,0.920105,-0.001962,0.002104,0.006514
K,gs,3,5,12,1.000e-12,72,0.778020,0.923340,-0.000740,-0.007693,0.004456
K,gs,3,5,12,1.000e-12,73,0.783473,0.922424,0.001729,-0.012719,-0.008434
K,gs,3,5,12,1.000e-12,74,0.770029,0.917542,0.005911,-0.002745,0.016677
K,gs,3,5,12,1.000e-12,75,0.779173,0.922974,-0.001011,0.000116,0.000531
K,gs,3,5,12,1.000e-12,76,0.774010,0.920776,0.006859,0.007767,-0.002286
K,gs,3,5,12,1.000e-12,77,0.772498,0.917542,0.002120,-0.003484,0.014122
K,gs,3,5,12,1.000e-12,78,0.780105,0.921265,-0.006383,0.001393,-0.005836
K,gs,3,5,12,1.000e-12,79,0.767217,0.915955,0.003284,0.012475,0.009392
K,gs,3,5,12,1.000e-12,80,0.781390,0.922180,0.000080,0.000562,-0.008861
K,gs,3,5,12,1.000e-10,1,-20.803307,0.000000,1.000000,1.000000,1.000000
K,gs,3,5,12,1.000e-10,2,-15.011814,0.000000,1.000000,1.000000,1.000000
K,gs,3,5,12,1.000e-10,3,-9.246227,0.000000,1.000000,1.000000,1.000000
K,gs,3,5,12,1.000e-10,4,-3.459849,0.050476,0.999822,0.923977,0.999821
K,gs,3,5,12,1.000e-10,5,0.155717,0.731934,0.448463,0.128879,0.439383
K,gs,3,5,12,1.000e-10,6,0.739924,0.908264,0.031896,0.019440,0.023819
K,gs,3,5,12,1.000e-10,7,0.774355,0.922791,-0.003520,0.012469,0.005360
K,gs,3,5,12,1.000e-10,8,0.781817,0.922119,0.002105,-0.016751,0.000029
K,gs,3,5,12,1.000e-10,9,0.780441,0.921753,0.000150,-0.001058,-0.003984
K,gs,3,5,12,1.000e-10,10,0.778674,0.921143,-0.006205,0.007736,0.000935
K,gs,3,5,12,1.000e-10,11,0.770289,0.921021,0.002989,0.017018,0.004579
K,gs,3,5,12,1.000e-10,12,0.779260,0.921204,-0.006900,-0.002820,-0.001021
K,gs,3,5,12,1.000e-10,13,0.778268,0.922485,0.002171,-0.004667,-0.008721
K,gs,3,5,12,1.000e-10,14,0.774224,0.917236,-0.012695,0.003982,-0.003533
K,gs,3,5,12,1.000e-10,15,0.778040,0.920898,-0.001525,0.001892,0.006332
K,gs,3,5,12,1.000e-10,16,0.771906,0.917419,0.009708,0.006221,0.001155
K,gs,3,5,12,1.000e-10,17,0.774910,0.919495,-0.004640,0.006430,0.004065
K,gs,3,5,12,1.000e-10,18,0.771694,0.919922,-0.004696,-0.006441,0.006876
K,gs,3,5,12,1.000e-10,19,0.773528,0.919312,0.003133,0.005236,0.007323
K,gs,3,5,12,1.000e-10,20,0.774714,0.923828,-0.009167,0.018601,0.000744
K,gs,3,5,12,1.000e-10,21,0.776348,0.920959,-0.000053,-0.001586,-0.002485
K,gs,3,5,12,1.000e-10,22,0.768464,0.916382,-0.006042,0.012452,0.015042
K,gs,3,5,12,1.000e-10,23,0.775967,0.922119,-0.003716,-0.007673,-0.002838
K,gs,3,5,12,1.000e-10,24,0.773408,0.917908,-0.008121,-0.002515,0.011521
K,gs,3,5,12,1.000e-10,25,0.776494,0.920349,0.002388,0.003595,-0.004950
K,gs,3,5,12,1.000e-10,26,0.778454,0.920288,-0.009450,0.000511,0.002435
K,gs,3,5,12,1.000e-10,27,0.780567,0.920959,0.000661,0.000026,-0.006379
K,gs,3,5,12,1.000e-10,28,0.766563,0.916626,0.003816,0.009879,-0.000065
K,gs,3,5,12,1.000e-10,29,0.775626,0.921326,0.008036,0.000397,0.012195
K,gs,3,5,12,1.000e-10,30,0.774277,0.920593,0.000383,0.002994,-0.003677
K,gs,3,5,12,1.000e-10,31,0.779578,0.922363,-0.008429,0.007945,0.009828
K,gs,3,5,12,1.000e-10,32,0.780150,0.918823,-0.004048,-0.008916,0.000252
K,gs,3,5,12,1.000e-10,33,0.780044,0.921997,-0.004792,-0.002126,0.004909
