mode,update,p,q,K,delta,t,mean_ln_d,frac_d_gt_1,r_cos1,r_cos2,r_sin1
K,gs,3,5,6,1.000e-12,1,-26.015875,0.000000,1.000000,1.000000,1.000000
K,gs,3,5,6,1.000e-12,2,-21.576306,0.000000,1.000000,1.000000,1.000000
K,gs,3,5,6,1.000e-12,3,-17.157820,0.000000,1.000000,1.000000,1.000000
K,gs,3,5,6,1.000e-12,4,-12.753016,0.000000,1.000000,1.000000,1.000000
K,gs,3,5,6,1.000e-12,5,-8.321754,0.000000,1.000000,0.999978,1.000000
K,gs,3,5,6,1.000e-12,6,-3.932348,0.070496,0.996572,0.898658,0.996420
K,gs,3,5,6,1.000e-12,7,-0.633847,0.548523,0.625969,0.342504,0.614142
K,gs,3,5,6,1.000e-12,8,0.541338,0.850220,0.157884,0.055720,0.142030
K,gs,3,5,6,1.000e-12,9,0.746643,0.910095,0.030201,-0.002321,0.020397
K,gs,3,5,6,1.000e-12,10,0.780018,0.919556,-0.002149,-0.007949,0.008495
K,gs,3,5,6,1.000e-12,11,0.773790,0.919373,-0.005203,-0.003420,0.009210
K,gs,3,5,6,1.000e-12,12,0.788676,0.926331,-0.005086,-0.013140,-0.009626
K,gs,3,5,6,1.000e-12,13,0.771249,0.920105,0.012233,0.007509,0.003251
K,gs,3,5,6,1.000e-12,14,0.778125,0.922119,0.004583,-0.005457,0.003339
K,gs,3,5,6,1.000e-12,15,0.773877,0.917908,0.008840,-0.006846,-0.004938
K,gs,3,5,6,1.000e-12,16,0.773124,0.917114,0.012349,-0.000990,-0.007054
K,gs,3,5,6,1.000e-12,17,0.775420,0.922791,-0.002087,-0.003600,0.000290
K,gs,3,5,6,1.000e-12,18,0.774964,0.919983,-0.005590,0.007266,-0.004446
K,gs,3,5,6,1.000e-12,19,0.782320,0.923035,-0.006767,-0.022480,0.001199
K,gs,3,5,6,1.000e-12,20,0.774659,0.921082,0.000515,-0.001645,-0.004734
K,gs,3,5,6,1.000e-12,21,0.778771,0.921692,-0.002202,-0.003068,0.004941
K,gs,3,5,6,1.000e-12,22,0.781497,0.924011,-0.011485,-0.010134,0.000535
K,gs,3,5,6,1.000e-12,23,0.779462,0.920776,-0.008304,0.007923,-0.009106
K,gs,3,5,6,1.000e-12,24,0.782905,0.925232,-0.008805,-0.020103,0.006818
K,gs,3,5,6,1.000e-12,25,0.780556,0.920837,0.001857,-0.003918,-0.001332
K,gs,3,5,6,1.000e-12,26,0.779413,0.921692,0.008276,-0.006437,-0.005448
K,gs,3,5,6,1.000e-12,27,0.779589,0.920532,-0.006750,-0.004179,0.004121
K,gs,3,5,6,1.000e-12,28,0.772304,0.921692,0.002279,0.008105,-0.002091
K,gs,3,5,6,1.000e-12,29,0.775183,0.920410,0.007809,-0.008389,-0.004012
K,gs,3,5,6,1.000e-12,30,0.775313,0.918945,-0.007329,0.001819,-0.001799
K,gs,3,5,6,1.000e-12,31,0.782679,0.923340,0.007563,0.002672,-0.022916
K,gs,3,5,6,1.000e-12,32,0.776843,0.922180,0.008905,0.010082,-0.005172
K,gs,3,5,6,1.000e-12,33,0.772015,0.918884,0.002233,-0.004633,0.007528
K,gs,3,5,6,1.000e-12,34,0.784266,0.925171,0.010061,-0.016492,-0.005534
K,gs,3,5,6,1.000e-12,35,0.770997,0.919983,-0.002395,0.014702,0.009817
K,gs,3,5,6,1.000e-12,36,0.769785,0.918823,0.015693,0.002865,0.005230
K,gs,3,5,6,1.000e-12,37,0.770405,0.919739,0.002023,-0.000317,0.010592
K,gs,3,5,6,1.000e-12,38,0.780872,0.923035,0.012146,-0.000890,-0.004166
K,gs,3,5,6,1.000e-12,39,0.774046,0.920837,0.006394,-0.006206,0.006068
K,gs,3,5,6,1.000e-12,40,0.781255,0.925171,0.004801,-0.005657,0.002191
K,gs,3,5,6,1.000e-12,41,0.771057,0.916687,0.008010,-0.000956,0.001637
K,gs,3,5,6,1.000e-12,42,0.777251,0.919312,0.003512,-0.006973,-0.006595
K,gs,3,5,6,1.000e-12,43,0.776214,0.921448,0.002800,-0.007399,0.001441
K,gs,3,5,6,1.000e-12,44,0.775057,0.918945,0.001043,0.009220,-0.000587
K,gs,3,5,6,1.000e-12,45,0.775219,0.918945,-0.010114,-0.001631,0.013945
K,gs,3,5,6,1.000e-12,46,0.773897,0.918213,0.010628,-0.001013,0.006373
K,gs,3,5,6,1.000e-12,47,0.776988,0.922546,-0.009553,0.010013,-0.001709
K,gs,3,5,6,1.000e-12,48,0.773778,0.920715,0.002037,0.001950,-0.002714
K,gs,3,5,6,1.000e-12,49,0.772419,0.919373,0.010338,-0.005853,0.002886
K,gs,3,5,6,1.000e-12,50,0.782760,0.921814,-0.001658,-0.002954,-0.004795
K,gs,3,5,6,1.000e-12,51,0.784354,0.924133,0.001317,-0.021253,-0.002881
K,gs,3,5,6,1.000e-12,52,0.776855,0.917908,0.005289,-0.005772,-0.002433
K,gs,3,5,6,1.000e-12,53,0.771998,0.920715,0.018883,0.003284,0.003354
K,gs,3,5,6,1.000e-12,54,0.770307,0.919556,0.020917,0.006639,-0.006020
K,gs,3,5,6,1.000e-12,55,0.782868,0.922791,-0.010395,0.001363,-0.003865
K,gs,3,5,6,1.000e-12,56,0.774263,0.919861,0.004522,0.004205,-0.004150
K,gs,3,5,6,1.000e-12,57,0.775493,0.919617,-0.009776,0.005237,0.007248
K,gs,3,5,6,1.000e-12,58,0.775327,0.920349,0.001516,0.009665,-0.005415
K,gs,3,5,6,1.000e-12,59,0.773283,0.919067,0.006873,-0.002807,0.010847
K,gs,3,5,6,1.000e-12,60,0.773477,0.918945,0.011240,-0.010325,0.013166
K,gs,3,5,6,1.000e-12,61,0.776248,0.921448,0.000096,0.000928,-0.006083
K,gs,3,5,6,1.000e-12,62,0.776609,0.919250,-0.008503,0.002658,0.001013
K,gs,3,5,6,1.000e-12,63,0.780045,0.923157,0.005717,-0.006477,-0.013849
K,gs,3,5,6,1.000e-12,64,0.783605,0.923950,-0.014251,-0.000944,0.005462
K,gs,3,5,6,1.000e-12,65,0.774825,0.920105,-0.011440,0.011059,0.009378
K,gs,3,5,6,1.000e-12,66,0.775740,0.919434,0.000925,-0.009349,0.008199
K,gs,3,5,6,1.000e-12,67,0.774071,0.919861,0.011751,0.007510,0.005953
K,gs,3,5,6,1.000e-12,68,0.776454,0.924377,0.004005,-0.006372,0.009223
K,gs,3,5,6,1.000e-12,69,0.771578,0.917786,0.008462,0.008144,0.007483
K,gs,3,5,6,1.000e-12,70,0.774120,0.919495,0.005037,-0.003213,0.009376
K,gs,3,5,6,1.000e-12,71,0.774402,0.918701,-0.009176,0.000260,0.007043
K,gs,3,5,6,1.000e-12,72,0.783244,0.921875,-0.004829,-0.008244,0.002420
K,gs,3,5,6,1.000e-12,73,0.774729,0.919678,0.000755,-0.005296,0.003241
K,gs,3,5,6,1.000e-12,74,0.770967,0.917908,0.013606,-0.005798,0.008847
K,gs,3,5,6,1.000e-12,75,0.771258,0.919312,-0.002446,0.015821,0.010779
K,gs,3,5,6,1.000e-12,76,0.777431,0.923401,0.001645,-0.001849,-0.010672
K,gs,3,5,6,1.000e-12,77,0.779419,0.921448,0.000329,0.014329,-0.008104
K,gs,3,5,6,1.000e-12,78,0.776480,0.920349,-0.004648,0.008809,-0.008665
K,gs,3,5,6,1.000e-12,79,0.779463,0.923279,-0.006225,-0.002623,-0.011739
K,gs,3,5,6,1.000e-12,80,0.772221,0.919250,0.000221,0.008722,0.002866
K,gs,3,5,6,1.000e-10,1,-21.410802,0.000000,1.000000,1.000000,1.000000
K,gs,3,5,6,1.000e-10,2,-16.971144,0.000000,1.000000,1.000000,1.000000
K,gs,3,5,6,1.000e-10,3,-12.552682,0.000000,1.000000,1.000000,1.000000
K,gs,3,5,6,1.000e-10,4,-8.147904,0.000000,1.000000,0.999992,1.000000
K,gs,3,5,6,1.000e-10,5,-3.727432,0.056580,0.998735,0.913894,0.998672
K,gs,3,5,6,1.000e-10,6,-0.443021,0.574646,0.611463,0.323021,0.606502
K,gs,3,5,6,1.000e-10,7,0.595361,0.860718,0.134483,0.039643,0.129171
K,gs,3,5,6,1.000e-10,8,0.766825,0.915833,0.018389,0.002631,-0.000728
K,gs,3,5,6,1.000e-10,9,0.775860,0.918945,0.009327,-0.002408,-0.005278
K,gs,3,5,6,1.000e-10,10,0.775581,0.919189,0.004882,-0.000654,0.011012
K,gs,3,5,6,1.000e-10,11,0.773549,0.917053,0.002583,-0.002783,-0.002205
K,gs,3,5,6,1.000e-10,12,0.777910,0.921875,-0.003838,0.002623,0.006143
K,gs,3,5,6,1.000e-10,13,0.786172,0.924194,-0.010629,-0.006075,-0.006480
K,gs,3,5,6,1.000e-10,14,0.772952,0.916382,-0.000014,0.009077,0.005956
K,gs,3,5,6,1.000e-10,15,0.782118,0.924194,0.002010,0.001162,-0.007276
K,gs,3,5,6,1.000e-10,16,0.776994,0.920288,0.005361,-0.010008,-0.000534
K,gs,3,5,6,1.000e-10,17,0.773379,0.918945,-0.002031,-0.001557,0.002434
K,gs,3,5,6,1.000e-10,18,0.775243,0.920898,-0.011255,0.008108,0.002687
K,gs,3,5,6,1.000e-10,19,0.777183,0.918945,0.007641,-0.001099,0.001747
K,gs,3,5,6,1.000e-10,20,0.781021,0.921936,-0.000142,-0.011385,0.000691
K,gs,3,5,6,1.000e-10,21,0.772120,0.918945,-0.009073,0.006935,0.006157
K,gs,3,5,6,1.000e-10,22,0.780429,0.922180,-0.016364,0.004743,0.000047
K,gs,3,5,6,1.000e-10,23,0.776143,0.922180,-0.001769,0.000463,-0.003201
K,gs,3,5,6,1.000e-10,24,0.776640,0.920105,-0.005030,0.000449,0.010645
K,gs,3,5,6,1.000e-10,25,0.777180,0.921631,-0.009707,-0.007205,0.000600
K,gs,3,5,6,1.000e-10,26,0.774370,0.921082,-0.000617,-0.012853,-0.000212
K,gs,3,5,6,1.000e-10,27,0.782067,0.921631,-0.008214,-0.000657,0.001173
K,gs,3,5,6,1.000e-10,28,0.776732,0.919556,-0.008678,-0.013083,0.005863
K,gs,3,5,6,1.000e-10,29,0.782804,0.925964,-0.013654,-0.000607,-0.010759
K,gs,3,5,6,1.000e-10,30,0.772951,0.920471,-0.000745,-0.003250,0.015046
K,gs,3,5,6,1.000e-10,31,0.780001,0.921082,-0.014995,-0.011179,0.004099
K,gs,3,5,6,1.000e-10,32,0.780792,0.922729,-0.002719,0.000342,-0.010389
K,gs,3,5,6,1.000e-10,33,0.770894,0.917419,-0.001511,-0.006651,0.007056
K,gs,3,5,6,1.000e-10,34,0.774727,0.920776,0.002199,0.005622,-0.001237
K,gs,3,5,6,1.000e-10,35,0.774638,0.923218,-0.001150,0.004195,-0.002291
K,gs,3,5,6,1.000e-10,36,0.767857,0.916260,0.005568,0.000940,0.010846
K,gs,3,5,6,1.000e-10,37,0.773651,0.918396,0.001445,-0.001289,0.002514
K,gs,3,5,6,1.000e-10,38,0.775556,0.921753,-0.007272,-0.014692,0.016924
K,gs,3,5,6,1.000e-10,39,0.773498,0.922058,0.013963,0.017011,-0.006005
K,gs,3,5,6,1.000e-10,40,0.778468,0.923889,-0.004603,0.006284,0.000891
K,gs,3,5,6,1.000e-10,41,0.781186,0.924622,-0.001914,-0.007291,0.000779
