mode,update,p,q,K,delta,t,mean_ln_d,frac_d_gt_1,r_cos1,r_cos2,r_sin1
K,jacobi,3,5,6,1.000e-12,1,-27.740926,0.000000,1.000000,1.000000,1.000000
K,jacobi,3,5,6,1.000e-12,2,-24.886124,0.000000,1.000000,1.000000,1.000000
K,jacobi,3,5,6,1.000e-12,3,-21.997017,0.000000,1.000000,1.000000,1.000000
K,jacobi,3,5,6,1.000e-12,4,-19.105971,0.000000,1.000000,1.000000,1.000000
K,jacobi,3,5,6,1.000e-12,5,-16.215577,0.000000,1.000000,1.000000,1.000000
K,jacobi,3,5,6,1.000e-12,6,-13.324786,0.000000,1.000000,1.000000,1.000000
K,jacobi,3,5,6,1.000e-12,7,-10.434415,0.000000,1.000000,1.000000,1.000000
K,jacobi,3,5,6,1.000e-12,8,-7.541841,0.000000,0.999993,0.999994,0.999991
K,jacobi,3,5,6,1.000e-12,9,-4.660150,0.002991,0.996100,0.996811,0.996123
K,jacobi,3,5,6,1.000e-12,10,-1.837399,0.188660,0.825711,0.824763,0.823100
K,jacobi,3,5,6,1.000e-12,11,0.104129,0.677368,0.305101,0.300869,0.310435
K,jacobi,3,5,6,1.000e-12,12,0.682677,0.879456,0.065138,0.043192,0.043081
K,jacobi,3,5,6,1.000e-12,13,0.764741,0.916138,0.013519,0.010861,-0.002497
K,jacobi,3,5,6,1.000e-12,14,0.764011,0.914734,0.009969,0.005705,0.008100
K,jacobi,3,5,6,1.000e-12,15,0.781197,0.924316,0.001732,-0.005439,-0.002072
K,jacobi,3,5,6,1.000e-12,16,0.779513,0.921753,-0.005600,-0.005540,-0.011987
K,jacobi,3,5,6,1.000e-12,17,0.782375,0.923767,-0.003335,-0.007774,-0.003995
K,jacobi,3,5,6,1.000e-12,18,0.777754,0.917786,-0.010245,0.000199,-0.002139
K,jacobi,3,5,6,1.000e-12,19,0.774115,0.919373,-0.003871,0.006004,0.006769
K,jacobi,3,5,6,1.000e-12,20,0.778553,0.919250,-0.002489,-0.001067,-0.003404
K,jacobi,3,5,6,1.000e-12,21,0.776799,0.922119,0.002669,0.007953,-0.006981
K,jacobi,3,5,6,1.000e-12,22,0.772399,0.918518,0.004776,-0.002240,0.014848
K,jacobi,3,5,6,1.000e-12,23,0.777653,0.919922,0.007565,-0.004578,-0.001598
K,jacobi,3,5,6,1.000e-12,24,0.774450,0.918457,0.000146,0.007326,-0.010607
K,jacobi,3,5,6,1.000e-12,25,0.773697,0.921204,-0.000253,0.011484,0.009097
K,jacobi,3,5,6,1.000e-12,26,0.778475,0.920593,-0.002333,0.001431,-0.013946
K,jacobi,3,5,6,1.000e-12,27,0.773281,0.916931,-0.003183,0.009640,0.008994
K,jacobi,3,5,6,1.000e-12,28,0.770531,0.916382,0.013429,0.013791,0.011144
K,jacobi,3,5,6,1.000e-12,29,0.778647,0.919983,-0.000727,-0.004150,-0.011290
K,jacobi,3,5,6,1.000e-12,30,0.774805,0.919617,0.006776,0.005359,-0.001849
K,jacobi,3,5,6,1.000e-12,31,0.779755,0.922302,-0.008320,-0.007699,-0.006761
K,jacobi,3,5,6,1.000e-12,32,0.775003,0.919800,-0.008386,0.006321,0.011547
K,jacobi,3,5,6,1.000e-12,33,0.772988,0.919434,-0.007356,0.003255,0.002741
K,jacobi,3,5,6,1.000e-12,34,0.778441,0.920471,-0.002179,0.006247,-0.003232
K,jacobi,3,5,6,1.000e-12,35,0.774666,0.920776,0.003610,-0.002406,0.012299
K,jacobi,3,5,6,1.000e-12,36,0.780809,0.923096,0.000976,-0.006944,0.003397
K,jacobi,3,5,6,1.000e-12,37,0.779463,0.923279,-0.012058,-0.003219,0.004167
K,jacobi,3,5,6,1.000e-12,38,0.780753,0.921509,-0.013136,-0.001674,0.005312
K,jacobi,3,5,6,1.000e-12,39,0.774834,0.920227,0.017027,0.015096,0.001380
K,jacobi,3,5,6,1.000e-12,40,0.775171,0.917175,-0.004124,0.003613,0.004460
K,jacobi,3,5,6,1.000e-12,41,0.780715,0.921448,0.001759,0.000872,-0.012965
K,jacobi,3,5,6,1.000e-12,42,0.776705,0.920654,0.000412,-0.007334,-0.000865
K,jacobi,3,5,6,1.000e-12,43,0.775395,0.918091,-0.000259,-0.006191,-0.007870
K,jacobi,3,5,6,1.000e-12,44,0.767886,0.914795,0.008074,0.009299,0.009111
K,jacobi,3,5,6,1.000e-12,45,0.775762,0.920532,0.006124,-0.000565,-0.000039
K,jacobi,3,5,6,1.000e-12,46,0.771804,0.916626,0.011760,0.005260,0.001723
K,jacobi,3,5,6,1.000e-12,47,0.780968,0.923157,-0.000614,0.009487,-0.001249
K,jacobi,3,5,6,1.000e-12,48,0.772323,0.920837,0.011931,0.004957,-0.000445
K,jacobi,3,5,6,1.000e-12,49,0.779794,0.921875,-0.011984,-0.004436,0.002256
