mode,update,p,q,K,delta,t,mean_ln_d,frac_d_gt_1,r_cos1,r_cos2,r_sin1
omega,gs,17,23,12,1.000e-12,1,-27.631063,0.000000,1.000000,1.000000,1.000000
omega,gs,17,23,12,1.000e-12,2,-18.375892,0.000000,1.000000,1.000000,1.000000
omega,gs,17,23,12,1.000e-12,3,-9.113838,0.000000,1.000000,1.000000,1.000000
omega,gs,17,23,12,1.000e-12,4,-0.598196,0.478516,0.998023,0.308046,0.998079
omega,gs,17,23,12,1.000e-12,5,0.756163,0.913391,0.017903,-0.002374,0.044787
omega,gs,17,23,12,1.000e-12,6,0.773348,0.918518,0.013744,0.000843,-0.000318
omega,gs,17,23,12,1.000e-12,7,0.765346,0.917419,0.009064,0.013213,0.009164
omega,gs,17,23,12,1.000e-12,8,0.775487,0.922058,-0.014038,0.006745,0.007276
omega,gs,17,23,12,1.000e-12,9,0.780546,0.923462,-0.003375,0.005652,-0.016467
omega,gs,17,23,12,1.000e-12,10,0.779862,0.921509,-0.001208,0.000140,-0.008479
omega,gs,17,23,12,1.000e-12,11,0.780443,0.921753,-0.004167,-0.012514,0.010293
omega,gs,17,23,12,1.000e-12,12,0.767613,0.918335,0.006456,0.015276,0.008133
omega,gs,17,23,12,1.000e-12,13,0.774810,0.918030,0.001456,-0.002251,0.009647
omega,gs,17,23,12,1.000e-12,14,0.772527,0.918823,-0.011130,-0.002790,0.029049
omega,gs,17,23,12,1.000e-12,15,0.770359,0.917053,0.010743,-0.006619,0.005971
omega,gs,17,23,12,1.000e-12,16,0.774901,0.920166,0.010395,-0.000962,-0.006053
omega,gs,17,23,12,1.000e-12,17,0.778796,0.922241,0.008795,-0.002973,0.008796
omega,gs,17,23,12,1.000e-12,18,0.776704,0.919983,-0.001638,-0.007854,0.000437
omega,gs,17,23,12,1.000e-12,19,0.780811,0.924011,-0.012725,0.007426,0.006219
omega,gs,17,23,12,1.000e-12,20,0.783435,0.921814,-0.010719,-0.002883,0.000585
omega,gs,17,23,12,1.000e-12,21,0.776344,0.920532,0.007001,0.001475,-0.001030
omega,gs,17,23,12,1.000e-12,22,0.775808,0.918518,0.008918,-0.004444,-0.020409
omega,gs,17,23,12,1.000e-12,23,0.779996,0.921753,-0.002470,-0.000922,0.001112
omega,gs,17,23,12,1.000e-12,24,0.780266,0.923035,-0.011889,0.008555,-0.006803
omega,gs,17,23,12,1.000e-12,25,0.773871,0.916931,0.007050,-0.002306,0.001896
omega,gs,17,23,12,1.000e-12,26,0.772584,0.919067,0.015475,-0.002757,-0.008615
omega,gs,17,23,12,1.000e-12,27,0.776141,0.923523,0.004068,0.014512,0.002115
omega,gs,17,23,12,1.000e-12,28,0.773804,0.919556,0.003571,0.001575,0.000873
omega,gs,17,23,12,1.000e-12,29,0.779901,0.918884,-0.005961,-0.006863,0.005514
omega,gs,17,23,12,1.000e-12,30,0.779109,0.921570,-0.000381,0.004806,-0.004536
omega,gs,17,23,12,1.000e-12,31,0.779624,0.919617,-0.009524,-0.021270,0.008657
omega,gs,17,23,12,1.000e-12,32,0.776502,0.922546,0.002361,0.006130,0.007928
omega,gs,17,23,12,1.000e-12,33,0.775353,0.918030,-0.002575,0.001646,0.000716
omega,gs,17,23,12,1.000e-12,34,0.780433,0.922363,0.007920,-0.006413,-0.008675
omega,gs,17,23,12,1.000e-12,35,0.778744,0.923218,-0.000309,0.000730,0.003202
omega,gs,17,23,12,1.000e-12,36,0.769675,0.919678,0.007465,0.022723,0.007305
omega,gs,17,23,12,1.000e-12,37,0.773413,0.919373,-0.002089,0.001984,-0.000719
omega,gs,17,23,12,1.000e-12,38,0.777295,0.922791,-0.011338,0.003684,0.006516
omega,gs,17,23,12,1.000e-12,39,0.775258,0.917969,-0.010082,0.005561,-0.008792
omega,gs,17,23,12,1.000e-12,40,0.778237,0.918640,0.005359,-0.007024,0.005203
omega,gs,17,23,12,1.000e-12,41,0.782482,0.922302,-0.012455,-0.006163,0.007189
omega,gs,17,23,12,1.000e-12,42,0.776541,0.918701,-0.002764,-0.005360,0.002975
omega,gs,17,23,12,1.000e-12,43,0.779135,0.921997,-0.003785,-0.011334,0.001119
omega,gs,17,23,12,1.000e-12,44,0.780965,0.921387,-0.010798,0.006056,-0.009854
omega,gs,17,23,12,1.000e-12,45,0.789496,0.923706,-0.012807,-0.010940,-0.009523
omega,gs,17,23,12,1.000e-12,46,0.778523,0.921814,-0.010544,-0.001242,-0.005702
omega,gs,17,23,12,1.000e-12,47,0.774291,0.917480,-0.000096,0.006277,-0.002745
omega,gs,17,23,12,1.000e-12,48,0.777296,0.919617,-0.005743,0.002999,-0.001349
omega,gs,17,23,12,1.000e-12,49,0.778286,0.919556,-0.006657,0.001284,-0.000413
omega,gs,17,23,12,1.000e-12,50,0.781200,0.921204,-0.007122,-0.007905,-0.002354
omega,gs,17,23,12,1.000e-12,51,0.773350,0.919617,0.004668,0.001260,0.006065
omega,gs,17,23,12,1.000e-12,52,0.774414,0.920898,0.004233,-0.002712,0.009108
omega,gs,17,23,12,1.000e-12,53,0.779749,0.921204,0.004390,-0.001933,-0.006847
omega,gs,17,23,12,1.000e-12,54,0.769188,0.915283,0.004288,0.005408,0.003697
omega,gs,17,23,12,1.000e-12,55,0.777994,0.920288,-0.001814,0.003089,0.002894
