mode,update,p,q,K,delta,t,mean_ln_d,frac_d_gt_1,r_cos1,r_cos2,r_sin1
omega,gs,3,5,12,1.000e-12,1,-27.630957,0.000000,1.000000,1.000000,1.000000
omega,gs,3,5,12,1.000e-12,2,-21.810632,0.000000,1.000000,1.000000,1.000000
omega,gs,3,5,12,1.000e-12,3,-16.044858,0.000000,1.000000,1.000000,1.000000
omega,gs,3,5,12,1.000e-12,4,-10.256987,0.000000,1.000000,1.000000,1.000000
omega,gs,3,5,12,1.000e-12,5,-4.465337,0.005066,0.999975,0.985116,0.999975
omega,gs,3,5,12,1.000e-12,6,-0.211504,0.633362,0.615095,0.228964,0.612530
omega,gs,3,5,12,1.000e-12,7,0.696786,0.894226,0.069724,0.021760,0.064281
omega,gs,3,5,12,1.000e-12,8,0.770502,0.916260,0.007275,-0.005315,0.017063
omega,gs,3,5,12,1.000e-12,9,0.776735,0.921265,0.007106,-0.002010,-0.005437
omega,gs,3,5,12,1.000e-12,10,0.784536,0.921570,-0.005687,-0.001566,-0.019494
omega,gs,3,5,12,1.000e-12,11,0.780627,0.922424,0.000034,-0.009671,-0.006663
omega,gs,3,5,12,1.000e-12,12,0.769000,0.916626,0.005399,0.009510,0.004820
omega,gs,3,5,12,1.000e-12,13,0.776497,0.921448,-0.005969,0.001998,-0.005709
omega,gs,3,5,12,1.000e-12,14,0.777589,0.922791,-0.006280,0.004694,-0.000746
omega,gs,3,5,12,1.000e-12,15,0.771273,0.916748,0.006624,-0.000989,0.006784
omega,gs,3,5,12,1.000e-12,16,0.775930,0.919312,-0.010835,0.002513,-0.003119
omega,gs,3,5,12,1.000e-12,17,0.776606,0.921143,-0.005061,0.004146,0.001159
omega,gs,3,5,12,1.000e-12,18,0.773429,0.921753,0.001436,-0.003271,0.012294
omega,gs,3,5,12,1.000e-12,19,0.774680,0.921387,0.000840,0.012315,0.004748
omega,gs,3,5,12,1.000e-12,20,0.771423,0.919861,0.013278,-0.010687,0.010162
omega,gs,3,5,12,1.000e-12,21,0.772470,0.920898,0.003374,0.005409,-0.000021
omega,gs,3,5,12,1.000e-12,22,0.778316,0.923462,0.006748,-0.000439,-0.003120
omega,gs,3,5,12,1.000e-12,23,0.773239,0.919189,0.006398,0.004159,0.008460
omega,gs,3,5,12,1.000e-12,24,0.775330,0.923462,-0.004119,-0.006288,0.003996
omega,gs,3,5,12,1.000e-12,25,0.774899,0.919800,0.012649,0.001182,-0.001989
omega,gs,3,5,12,1.000e-12,26,0.779054,0.920227,0.001269,0.007306,-0.012805
omega,gs,3,5,12,1.000e-12,27,0.778244,0.920593,0.001292,0.001935,-0.008141
omega,gs,3,5,12,1.000e-12,28,0.777493,0.920227,-0.008081,-0.005315,0.008640
omega,gs,3,5,12,1.000e-12,29,0.770710,0.917847,0.007726,0.001198,0.001178
omega,gs,3,5,12,1.000e-12,30,0.772128,0.916931,0.001637,0.015120,0.004611
omega,gs,3,5,12,1.000e-12,31,0.779119,0.919922,-0.000995,-0.002983,-0.000059
omega,gs,3,5,12,1.000e-12,32,0.774906,0.918701,-0.007699,0.011884,-0.000827
omega,gs,3,5,12,1.000e-12,33,0.774262,0.921936,-0.004177,-0.001960,0.003787
omega,gs,3,5,12,1.000e-12,34,0.773800,0.920349,0.014518,-0.002800,-0.005591
omega,gs,3,5,12,1.000e-12,35,0.787361,0.923584,-0.014881,-0.015467,0.004061
omega,gs,3,5,12,1.000e-12,36,0.770964,0.919495,0.003705,-0.002009,0.014466
omega,gs,3,5,12,1.000e-12,37,0.781930,0.923523,-0.000169,-0.009508,-0.005728
omega,gs,3,5,12,1.000e-12,38,0.775791,0.920349,0.002602,0.004620,-0.003094
omega,gs,3,5,12,1.000e-12,39,0.770915,0.917725,-0.010376,-0.001015,0.010238
omega,gs,3,5,12,1.000e-12,40,0.783613,0.921448,-0.001519,-0.002323,-0.010672
omega,gs,3,5,12,1.000e-12,41,0.781581,0.922424,0.012498,-0.015146,-0.001145
omega,gs,3,5,12,1.000e-12,42,0.774645,0.920044,0.003735,-0.009233,0.012385
omega,gs,3,5,12,1.000e-12,43,0.778070,0.921265,-0.011423,-0.001564,-0.002756
omega,gs,3,5,12,1.000e-12,44,0.778793,0.921387,-0.004802,-0.002390,0.001747
omega,gs,3,5,12,1.000e-12,45,0.775816,0.920532,0.008066,0.003115,-0.005938
omega,gs,3,5,12,1.000e-12,46,0.777493,0.919800,-0.003997,-0.002439,0.004177
omega,gs,3,5,12,1.000e-12,47,0.776828,0.919922,-0.016629,0.008740,0.001750
omega,gs,3,5,12,1.000e-12,48,0.777324,0.922607,0.007893,-0.006438,-0.002098
omega,gs,3,5,12,1.000e-12,49,0.774808,0.917969,-0.000722,0.007312,-0.005801
omega,gs,3,5,12,1.000e-12,50,0.778615,0.922729,0.006152,-0.004806,-0.006109
omega,gs,3,5,12,1.000e-12,51,0.772206,0.917603,0.010749,-0.008310,0.007354
omega,gs,3,5,12,1.000e-12,52,0.783246,0.923462,-0.007861,-0.008939,-0.004211
omega,gs,3,5,12,1.000e-12,53,0.771232,0.918396,0.009057,0.008417,-0.008421
omega,gs,3,5,12,1.000e-12,54,0.778668,0.920898,-0.008639,0.000017,-0.008741
omega,gs,3,5,12,1.000e-12,55,0.778038,0.920227,-0.001127,-0.011341,-0.005219
omega,gs,3,5,12,1.000e-12,56,0.771655,0.916626,0.003121,0.013437,0.011484
omega,gs,3,5,12,1.000e-12,57,0.779071,0.919617,-0.002203,-0.003442,-0.007087
omega,gs,3,5,12,1.000e-12,58,0.768150,0.917175,0.010928,0.006820,0.009092
