mode,update,p,q,K,delta,t,mean_ln_d,frac_d_gt_1,r_cos1,r_cos2,r_sin1
omega,jacobi,3,5,20,1.000e-12,1,-27.631744,0.000000,1.000000,1.000000,1.000000
omega,jacobi,3,5,20,1.000e-12,2,-23.350513,0.000000,1.000000,1.000000,1.000000
omega,jacobi,3,5,20,1.000e-12,3,-19.283132,0.000000,1.000000,1.000000,1.000000
omega,jacobi,3,5,20,1.000e-12,4,-15.182077,0.000000,1.000000,1.000000,1.000000
omega,jacobi,3,5,20,1.000e-12,5,-11.083279,0.000000,1.000000,1.000000,1.000000
omega,jacobi,3,5,20,1.000e-12,6,-6.984686,0.000000,0.999996,0.999996,0.999996
omega,jacobi,3,5,20,1.000e-12,7,-2.895694,0.019470,0.979080,0.978955,0.979150
omega,jacobi,3,5,20,1.000e-12,8,0.285298,0.726379,0.272761,0.257165,0.252756
omega,jacobi,3,5,20,1.000e-12,9,0.752427,0.912659,0.020328,0.033919,0.020100
omega,jacobi,3,5,20,1.000e-12,10,0.775895,0.921631,0.003103,-0.000193,0.008201
omega,jacobi,3,5,20,1.000e-12,11,0.784228,0.924011,-0.015570,-0.005949,-0.005585
omega,jacobi,3,5,20,1.000e-12,12,0.777388,0.920349,0.003937,-0.019770,0.007192
omega,jacobi,3,5,20,1.000e-12,13,0.775777,0.921448,0.006599,0.009747,-0.003740
omega,jacobi,3,5,20,1.000e-12,14,0.776828,0.919373,0.013636,-0.011726,-0.004768
omega,jacobi,3,5,20,1.000e-12,15,0.783988,0.923584,-0.003924,-0.011405,-0.017469
omega,jacobi,3,5,20,1.000e-12,16,0.775629,0.918152,0.004060,-0.011129,-0.000463
omega,jacobi,3,5,20,1.000e-12,17,0.775421,0.920410,0.012257,0.018185,-0.012747
omega,jacobi,3,5,20,1.000e-12,18,0.773264,0.922668,0.021728,0.013729,-0.001836
omega,jacobi,3,5,20,1.000e-12,19,0.770001,0.916016,0.013339,0.010536,-0.000062
omega,jacobi,3,5,20,1.000e-12,20,0.778644,0.920288,0.004479,0.001374,-0.001767
omega,jacobi,3,5,20,1.000e-12,21,0.773132,0.919250,0.010759,0.003113,-0.010649
omega,jacobi,3,5,20,1.000e-12,22,0.788022,0.925293,-0.016255,-0.013354,0.001893
omega,jacobi,3,5,20,1.000e-12,23,0.775698,0.920959,0.003789,0.002962,0.011060
omega,jacobi,3,5,20,1.000e-12,24,0.783814,0.923401,-0.002425,-0.016735,0.007038
omega,jacobi,3,5,20,1.000e-12,25,0.770589,0.916992,0.011053,0.008517,-0.001748
omega,jacobi,3,5,20,1.000e-12,26,0.773909,0.919495,0.008449,-0.005094,0.014378
omega,jacobi,3,5,20,1.000e-12,27,0.777854,0.921631,-0.009956,0.005411,0.008096
omega,jacobi,3,5,20,1.000e-12,28,0.782574,0.921814,-0.014343,-0.007563,-0.007011
omega,jacobi,3,5,20,1.000e-12,29,0.777492,0.921265,-0.009992,0.005907,-0.000740
omega,jacobi,3,5,20,1.000e-12,30,0.778824,0.921021,0.005155,-0.000229,-0.003195
omega,jacobi,3,5,20,1.000e-12,31,0.773067,0.919678,0.003416,-0.001955,0.012630
omega,jacobi,3,5,20,1.000e-12,32,0.778128,0.919067,-0.000837,0.002975,-0.001213
omega,jacobi,3,5,20,1.000e-12,33,0.775469,0.919739,0.023314,-0.004418,-0.000503
omega,jacobi,3,5,20,1.000e-12,34,0.768125,0.915649,0.011771,0.004636,0.004888
omega,jacobi,3,5,20,1.000e-12,35,0.775136,0.918701,0.012266,-0.004614,0.005247
omega,jacobi,3,5,20,1.000e-12,36,0.775241,0.917908,0.004928,-0.001272,0.009776
omega,jacobi,3,5,20,1.000e-12,37,0.783495,0.922974,-0.001345,-0.009164,0.002113
omega,jacobi,3,5,20,1.000e-12,38,0.775407,0.921509,0.009893,-0.003389,0.000158
omega,jacobi,3,5,20,1.000e-12,39,0.781349,0.922729,0.003158,0.006384,-0.011710
omega,jacobi,3,5,20,1.000e-12,40,0.772106,0.915649,-0.003404,0.004372,0.007397
omega,jacobi,3,5,20,1.000e-12,41,0.775825,0.920898,-0.014194,0.015965,0.009298
omega,jacobi,3,5,20,1.000e-12,42,0.781503,0.922302,-0.005902,0.006434,-0.007191
omega,jacobi,3,5,20,1.000e-12,43,0.772905,0.916870,0.003477,-0.002561,-0.003415
omega,jacobi,3,5,20,1.000e-12,44,0.778031,0.921997,-0.007403,0.002932,-0.017110
omega,jacobi,3,5,20,1.000e-12,45,0.776463,0.919678,-0.014712,0.006951,0.002815
omega,jacobi,3,5,20,1.000e-12,46,0.776963,0.920166,0.003250,0.004111,0.005799
omega,jacobi,3,5,20,1.000e-12,47,0.783871,0.925598,-0.009808,-0.007664,-0.014450
omega,jacobi,3,5,20,1.000e-12,48,0.776828,0.920593,-0.006214,0.002699,-0.004918
omega,jacobi,3,5,20,1.000e-12,49,0.770549,0.919800,0.002448,0.000629,0.018159
omega,jacobi,3,5,20,1.000e-12,50,0.775082,0.919495,0.007233,-0.005897,-0.008915
omega,jacobi,3,5,20,1.000e-12,51,0.782616,0.924255,-0.005532,0.000457,0.000638
omega,jacobi,3,5,20,1.000e-12,52,0.776172,0.919128,-0.003317,0.002660,-0.004761
omega,jacobi,3,5,20,1.000e-12,53,0.778038,0.922485,0.007458,0.013790,-0.021554
omega,jacobi,3,5,20,1.000e-12,54,0.777029,0.920593,0.005802,-0.003751,-0.008413
omega,jacobi,3,5,20,1.000e-12,55,0.770506,0.916138,-0.008332,0.020360,0.016957
omega,jacobi,3,5,20,1.000e-12,56,0.765682,0.918945,0.014344,-0.000241,0.020678
omega,jacobi,3,5,20,1.000e-12,57,0.779724,0.919373,-0.003949,0.004516,-0.002199
omega,jacobi,3,5,20,1.000e-12,58,0.779496,0.918518,-0.007323,-0.013178,-0.005474
omega,jacobi,3,5,20,1.000e-12,59,0.781943,0.922119,-0.007244,-0.010535,0.003463
omega,jacobi,3,5,20,1.000e-12,60,0.775855,0.921448,-0.010039,0.007257,-0.004872
omega,jacobi,3,5,20,1.000e-12,61,0.775154,0.917664,0.002452,0.004166,0.001409
omega,jacobi,3,5,20,1.000e-12,62,0.777693,0.920898,-0.013967,-0.004282,0.000050
omega,jacobi,3,5,20,1.000e-12,63,0.781468,0.920227,-0.006292,-0.010326,-0.009603
omega,jacobi,3,5,20,1.000e-12,64,0.775363,0.919434,-0.004747,-0.005618,0.005409
omega,jacobi,3,5,20,1.000e-12,65,0.783856,0.922424,-0.004661,0.006789,-0.009260
omega,jacobi,3,5,20,1.000e-12,66,0.773562,0.919617,-0.001824,0.010552,0.004972
omega,jacobi,3,5,20,1.000e-12,67,0.776493,0.920593,-0.018440,0.020947,0.002259
omega,jacobi,3,5,20,1.000e-12,68,0.779967,0.921692,-0.005078,-0.003708,-0.007332
omega,jacobi,3,5,20,1.000e-12,69,0.772510,0.916565,0.004570,0.021004,-0.007580
omega,jacobi,3,5,20,1.000e-12,70,0.769392,0.918335,0.006933,0.009632,0.002089
omega,jacobi,3,5,20,1.000e-12,71,0.774457,0.918457,-0.001224,0.005387,0.003128
omega,jacobi,3,5,20,1.000e-12,72,0.778669,0.920105,-0.008797,-0.020045,0.018069
omega,jacobi,3,5,20,1.000e-12,73,0.774907,0.920410,-0.002455,0.006649,0.011890
omega,jacobi,3,5,20,1.000e-12,74,0.778697,0.921692,-0.000077,-0.002973,-0.003357
omega,jacobi,3,5,20,1.000e-12,75,0.770034,0.919189,0.014875,0.005500,0.013150
omega,jacobi,3,5,20,1.000e-12,76,0.771876,0.919373,0.006786,0.004282,-0.005166
omega,jacobi,3,5,20,1.000e-12,77,0.780564,0.921875,0.001327,0.007510,-0.005442
omega,jacobi,3,5,20,1.000e-12,78,0.777693,0.922058,-0.005196,0.008561,0.000016
omega,jacobi,3,5,20,1.000e-12,79,0.770693,0.915222,0.004028,-0.007751,0.009052
omega,jacobi,3,5,20,1.000e-12,80,0.779288,0.922791,0.001944,0.004503,-0.002557
omega,jacobi,3,5,20,1.000e-10,1,-23.025859,0.000000,1.000000,1.000000,1.000000
omega,jacobi,3,5,20,1.000e-10,2,-18.744626,0.000000,1.000000,1.000000,1.000000
omega,jacobi,3,5,20,1.000e-10,3,-14.677244,0.000000,1.000000,1.000000,1.000000
omega,jacobi,3,5,20,1.000e-10,4,-10.576180,0.000000,1.000000,1.000000,1.000000
omega,jacobi,3,5,20,1.000e-10,5,-6.477368,0.000000,0.999995,0.999994,0.999995
omega,jacobi,3,5,20,1.000e-10,6,-2.378808,0.030090,0.968899,0.965727,0.969012
omega,jacobi,3,5,20,1.000e-10,7,0.491549,0.801758,0.163357,0.176559,0.180213
omega,jacobi,3,5,20,1.000e-10,8,0.768323,0.916626,0.020272,0.010332,0.004511
omega,jacobi,3,5,20,1.000e-10,9,0.779772,0.922241,-0.000514,-0.005175,0.000203
