mode,update,p,q,K,delta,t,mean_ln_d,frac_d_gt_1,r_cos1,r_cos2,r_sin1
pq,gs,3,5,20,1.000e+00,1,0.736420,0.906372,0.058856,0.027593,0.039117
pq,gs,3,5,20,1.000e+00,2,0.772000,0.916565,-0.005119,-0.002984,0.003839
pq,gs,3,5,20,1.000e+00,3,0.776471,0.919434,-0.001152,-0.007096,0.012502
pq,gs,3,5,20,1.000e+00,4,0.779604,0.919861,0.000351,-0.013122,0.002738
pq,gs,3,5,20,1.000e+00,5,0.780700,0.920288,0.007885,-0.013775,0.004325
pq,gs,3,5,20,1.000e+00,6,0.776016,0.919495,0.016062,-0.008274,-0.008409
pq,gs,3,5,20,1.000e+00,7,0.777423,0.920715,0.010781,0.010041,0.001954
pq,gs,3,5,20,1.000e+00,8,0.774677,0.919189,-0.006005,0.002281,0.004030
pq,gs,3,5,20,1.000e+00,9,0.777940,0.923157,-0.010759,-0.005975,0.008576
pq,gs,3,5,20,1.000e+00,10,0.780602,0.922729,-0.001686,-0.014149,0.004194
pq,gs,3,5,20,1.000e+00,11,0.776813,0.922791,0.001464,-0.000200,0.003164
pq,gs,3,5,20,1.000e+00,12,0.775792,0.919739,-0.007301,-0.006005,0.004084
pq,gs,3,5,20,1.000e+00,13,0.781547,0.920105,0.000446,-0.005538,-0.012243
pq,gs,3,5,20,1.000e+00,14,0.779095,0.920715,-0.005540,-0.003316,0.002637
pq,gs,3,5,20,1.000e+00,15,0.774386,0.920227,0.004628,0.020259,-0.004351
pq,gs,3,5,20,1.000e+00,16,0.774129,0.919922,0.004095,0.002679,0.000500
pq,gs,3,5,20,1.000e+00,17,0.776799,0.919922,-0.006769,0.011173,0.002095
pq,gs,3,5,20,1.000e+00,18,0.779627,0.924072,-0.001003,-0.010007,0.005245
pq,gs,3,5,20,1.000e+00,19,0.778457,0.919678,-0.009564,-0.008997,0.012899
pq,gs,3,5,20,1.000e+00,20,0.777293,0.921021,0.000036,-0.011465,0.004301
pq,gs,3,5,20,1.000e+00,21,0.776033,0.920654,0.014415,-0.004754,0.006150
pq,gs,3,5,20,1.000e+00,22,0.776953,0.920288,-0.014443,0.002798,0.007387
pq,gs,3,5,20,1.000e+00,23,0.776240,0.917786,0.002028,-0.013408,-0.002984
pq,gs,3,5,20,1.000e+00,24,0.779628,0.921021,-0.009442,-0.002879,0.000950
pq,gs,3,5,20,1.000e+00,25,0.779368,0.922546,0.014043,0.000897,-0.012294
pq,gs,3,5,20,1.000e+00,26,0.779568,0.922729,0.001648,0.000058,-0.002373
pq,gs,3,5,20,1.000e+00,27,0.780535,0.922241,0.004213,0.001496,-0.012241
pq,gs,3,5,20,1.000e+00,28,0.778862,0.923035,0.006916,-0.014970,0.003437
pq,gs,3,5,20,1.000e+00,29,0.775650,0.919800,0.002947,0.006523,0.006110
pq,gs,3,5,20,1.000e+00,30,0.786284,0.923889,-0.016192,-0.009295,-0.007260
pq,gs,3,5,20,1.000e+00,31,0.771250,0.919006,0.002470,0.010701,0.000659
pq,gs,3,5,20,1.000e+00,32,0.775705,0.918091,-0.003362,0.002037,-0.005111
pq,gs,3,5,20,1.000e+00,33,0.772011,0.917725,0.005774,0.000536,0.000185
pq,gs,3,5,20,1.000e+00,34,0.779102,0.921692,0.006706,-0.015689,-0.004311
pq,gs,3,5,20,1.000e+00,35,0.779632,0.923340,-0.001989,-0.004480,-0.005705
pq,gs,3,5,20,1.000e+00,36,0.778281,0.921326,0.005656,-0.012839,-0.010365
pq,gs,3,5,20,1.000e+00,37,0.774946,0.920837,0.012704,-0.000969,-0.000765
pq,gs,3,5,20,1.000e+00,38,0.773157,0.919800,0.000925,0.002573,0.002475
pq,gs,3,5,20,1.000e+00,39,0.780343,0.923767,0.007929,-0.000354,-0.014826
pq,gs,3,5,20,1.000e+00,40,0.778462,0.923340,0.009850,0.008089,-0.001923
pq,gs,3,5,20,1.000e+00,41,0.775148,0.921997,0.013048,0.001774,-0.011442
pq,gs,3,5,20,1.000e+00,42,0.779489,0.923584,0.007088,-0.000504,-0.010244
pq,gs,3,5,20,1.000e+00,43,0.767096,0.915771,0.004619,0.005334,0.009730
pq,gs,3,5,20,1.000e+00,44,0.768036,0.914490,0.004366,-0.001079,-0.002618
pq,gs,3,5,20,1.000e+00,45,0.778324,0.919373,0.017831,-0.007157,-0.006748
pq,gs,3,5,20,1.000e+00,46,0.781334,0.921936,0.004966,-0.009581,-0.005777
