mode,update,p,q,K,delta,t,mean_ln_d,frac_d_gt_1,r_cos1,r_cos2,r_sin1
pq,jacobi,3,5,6,1.000e+00,1,0.754970,0.917969,0.041668,-0.028535,0.004339
pq,jacobi,3,5,6,1.000e+00,2,0.774018,0.918152,0.004304,-0.002478,0.001992
pq,jacobi,3,5,6,1.000e+00,3,0.774550,0.917114,0.001347,0.004381,-0.008331
pq,jacobi,3,5,6,1.000e+00,4,0.786041,0.924805,-0.016809,0.004335,-0.012485
pq,jacobi,3,5,6,1.000e+00,5,0.784383,0.924316,-0.001558,-0.004300,-0.004786
pq,jacobi,3,5,6,1.000e+00,6,0.779884,0.920349,-0.005092,-0.011520,-0.005855
pq,jacobi,3,5,6,1.000e+00,7,0.775788,0.918884,-0.003023,-0.008177,0.010032
pq,jacobi,3,5,6,1.000e+00,8,0.776611,0.923523,-0.003979,0.004517,0.013999
pq,jacobi,3,5,6,1.000e+00,9,0.778089,0.920898,-0.005883,-0.013645,0.001937
pq,jacobi,3,5,6,1.000e+00,10,0.776023,0.918579,-0.004713,-0.008455,0.004972
pq,jacobi,3,5,6,1.000e+00,11,0.780638,0.921509,-0.002161,-0.001927,-0.000738
pq,jacobi,3,5,6,1.000e+00,12,0.780707,0.922668,0.004306,-0.002129,-0.009454
pq,jacobi,3,5,6,1.000e+00,13,0.785541,0.921143,-0.010604,0.004480,-0.022487
pq,jacobi,3,5,6,1.000e+00,14,0.781592,0.922729,-0.008466,0.005768,-0.012088
pq,jacobi,3,5,6,1.000e+00,15,0.780551,0.922424,0.004614,-0.009002,-0.005441
pq,jacobi,3,5,6,1.000e+00,16,0.774866,0.919189,-0.000760,0.003346,0.000070
pq,jacobi,3,5,6,1.000e+00,17,0.774215,0.918274,0.002249,-0.006427,0.006526
pq,jacobi,3,5,6,1.000e+00,18,0.777500,0.920288,-0.001262,-0.006778,-0.010262
pq,jacobi,3,5,6,1.000e+00,19,0.778928,0.921387,0.000492,0.003048,-0.002397
pq,jacobi,3,5,6,1.000e+00,20,0.785853,0.923523,-0.014537,-0.011847,0.005631
pq,jacobi,3,5,6,1.000e+00,21,0.775849,0.919922,0.000304,0.016732,0.004295
pq,jacobi,3,5,6,1.000e+00,22,0.782062,0.923157,-0.005372,-0.005194,-0.001399
pq,jacobi,3,5,6,1.000e+00,23,0.785754,0.923523,-0.002762,-0.003906,-0.006172
pq,jacobi,3,5,6,1.000e+00,24,0.771786,0.921875,-0.002342,0.009336,0.003321
pq,jacobi,3,5,6,1.000e+00,25,0.772384,0.916870,0.013979,-0.000372,-0.003096
