mode,update,p,q,K,delta,t,mean_ln_d,frac_d_gt_1,r_cos1,r_cos2,r_sin1
zero,gs,3,5,12,0.000e+00,1,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,2,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,3,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,4,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,5,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,6,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,7,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,8,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,9,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,10,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,11,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,12,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,13,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,14,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,15,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,16,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,17,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,18,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,19,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,20,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,21,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,22,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,23,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,24,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,25,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,26,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,27,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,28,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,29,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,30,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,31,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,32,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,33,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,34,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,35,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,36,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,37,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,38,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,39,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,40,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,41,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,42,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,43,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,44,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,45,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,46,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,47,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,48,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,49,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,50,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,51,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,52,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,53,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,54,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,55,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,56,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,57,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,58,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,59,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,60,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,61,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,62,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,63,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,64,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,65,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,66,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,67,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,68,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,69,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,70,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,71,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,72,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,73,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,74,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,75,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,76,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,77,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,78,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,79,nan,0.000000,1.000000,1.000000,1.000000
zero,gs,3,5,12,0.000e+00,80,nan,0.000000,1.000000,1.000000,1.000000
