seed_idx,i,j,pi,qi,pj,qj,abs_r_bytes,p_bytes,hamming_pct,ham_dev,r_cos1_raw,p_raw
0,0,1,2,3,3,5,8.452515805e-05,7.8924e-01,49.9968,3.217e-05,-2.226377896e-03,2.5989e-02
0,0,2,2,3,5,7,5.613295646e-05,8.5911e-01,49.9944,5.624e-05,-1.088672571e-03,2.7630e-01
0,0,3,2,3,7,11,4.040889019e-04,2.0131e-01,49.9980,1.981e-05,+1.769537998e-03,7.6804e-02
0,0,4,2,3,8,13,7.671113587e-04,1.5274e-02,50.0115,1.147e-04,-7.031431243e-04,4.8197e-01
0,0,5,2,3,11,17,8.355579372e-05,7.9161e-01,50.0035,3.519e-05,+1.135998362e-03,2.5596e-01
0,0,6,2,3,13,19,9.655422271e-05,7.6011e-01,49.9946,5.387e-05,+5.460264606e-04,5.8505e-01
0,0,7,2,3,17,23,3.122884912e-04,3.2338e-01,49.9966,3.374e-05,+8.783965750e-04,3.7973e-01
0,0,8,2,3,19,29,4.420793076e-04,1.6212e-01,49.9988,1.210e-05,+2.391401567e-04,8.1100e-01
0,0,9,2,3,23,31,1.687923542e-04,5.9350e-01,50.0035,3.493e-05,+6.047478748e-04,5.4535e-01
0,0,10,2,3,29,37,4.741460035e-05,8.8081e-01,49.9994,6.287e-06,+2.269485635e-04,8.2046e-01
0,0,11,2,3,31,41,3.432078987e-04,2.7778e-01,50.0036,3.589e-05,-2.602667739e-04,7.9466e-01
0,0,12,2,3,37,43,2.360269729e-04,4.5544e-01,49.9958,4.204e-05,-1.427525259e-03,1.5343e-01
0,0,13,2,3,41,47,3.036548041e-05,9.2350e-01,50.0023,2.271e-05,+8.297878603e-04,4.0666e-01
0,0,14,2,3,43,53,8.170113628e-05,7.9613e-01,49.9978,2.162e-05,+3.423424066e-04,7.3209e-01
0,0,15,2,3,47,59,3.193314350e-05,9.1957e-01,50.0026,2.596e-05,+1.043180155e-03,2.9686e-01
0,0,16,2,3,53,61,2.574404776e-04,4.1559e-01,49.9910,9.039e-05,-3.376309703e-04,7.3564e-01
0,0,17,2,3,59,67,9.010747870e-05,7.7569e-01,50.0077,7.724e-05,+8.899121086e-04,3.7351e-01
0,0,18,2,3,61,71,8.777537510e-06,9.7786e-01,50.0003,2.712e-06,+6.417114913e-04,5.2106e-01
0,0,19,2,3,67,73,5.598716610e-05,8.5947e-01,49.9943,5.702e-05,+1.673561882e-03,9.4217e-02
0,1,2,3,5,5,7,2.241338475e-04,4.7847e-01,50.0148,1.476e-04,+1.971880136e-03,4.8623e-02
0,1,3,3,5,7,11,2.413901483e-04,4.4526e-01,50.0092,9.216e-05,+1.383096572e-03,1.6664e-01
0,1,4,3,5,8,13,2.062441877e-04,5.1427e-01,49.9980,2.034e-05,-5.707202428e-04,5.6819e-01
0,1,5,3,5,11,17,7.651929085e-05,8.0880e-01,49.9929,7.096e-05,+2.909854080e-04,7.7106e-01
0,1,6,3,5,13,19,8.022850039e-05,7.9972e-01,50.0037,3.655e-05,+5.551122741e-04,5.7882e-01
0,1,7,3,5,17,23,4.268490859e-04,1.7708e-01,49.9960,3.999e-05,-3.877724335e-04,6.9818e-01
0,1,8,3,5,19,29,6.505697816e-04,3.9659e-02,50.0023,2.285e-05,+1.616276383e-04,8.7160e-01
0,1,9,3,5,23,31,4.870838559e-05,8.7759e-01,49.9969,3.050e-05,+6.887897272e-04,4.9096e-01
0,1,10,3,5,29,37,2.534542268e-04,4.2285e-01,49.9980,1.971e-05,+3.622234750e-04,7.1719e-01
0,1,11,3,5,31,41,1.239743709e-04,6.9503e-01,50.0003,2.612e-06,-5.043051018e-04,6.1405e-01
0,1,12,3,5,37,43,1.982037039e-05,9.5002e-01,50.0045,4.506e-05,-9.431482940e-04,3.4561e-01
0,1,13,3,5,41,47,2.331786830e-05,9.4122e-01,50.0090,8.979e-05,-1.242221545e-03,2.1415e-01
