seed_idx,i,j,pi,qi,pj,qj,abs_r_bytes,p_bytes,hamming_pct,ham_dev,r_cos1_raw,p_raw
0,0,1,2,3,3,5,0.000179,5.7036e-01,50.0024,2.373e-05,+0.000587,5.5705e-01
0,0,2,2,3,5,7,0.000419,1.8491e-01,49.9978,2.246e-05,-0.001643,1.0046e-01
0,0,3,2,3,7,11,0.000186,5.5745e-01,49.9947,5.266e-05,+0.000271,7.8640e-01
0,0,4,2,3,8,13,0.000203,5.2132e-01,49.9998,1.688e-06,+0.000241,8.0957e-01
0,0,5,2,3,11,17,0.000153,6.2822e-01,50.0076,7.645e-05,-0.000456,6.4841e-01
0,0,6,2,3,13,19,0.000189,5.5034e-01,50.0059,5.924e-05,-0.000401,6.8836e-01
0,0,7,2,3,17,23,0.000111,7.2472e-01,49.9905,9.471e-05,-0.000978,3.2819e-01
0,0,8,2,3,19,29,0.000080,8.0024e-01,50.0028,2.800e-05,+0.001580,1.1415e-01
0,0,9,2,3,23,31,0.000019,9.5297e-01,49.9993,6.913e-06,+0.000515,6.0674e-01
0,0,10,2,3,29,37,0.000390,2.1710e-01,50.0056,5.612e-05,+0.000036,9.7124e-01
0,0,11,2,3,31,41,0.000180,5.6857e-01,49.9929,7.124e-05,+0.002073,3.8147e-02
0,0,12,2,3,37,43,0.000216,4.9465e-01,49.9925,7.466e-05,-0.000927,3.5413e-01
0,0,13,2,3,41,47,0.000281,3.7488e-01,50.0022,2.214e-05,-0.000552,5.8091e-01
0,0,14,2,3,43,53,0.000071,8.2169e-01,49.9965,3.524e-05,-0.000045,9.6416e-01
0,0,15,2,3,47,59,0.000201,5.2587e-01,50.0061,6.086e-05,-0.000323,7.4655e-01
0,0,16,2,3,53,61,0.000108,7.3227e-01,49.9984,1.560e-05,-0.000840,4.0090e-01
0,0,17,2,3,59,67,0.000395,2.1106e-01,49.9946,5.440e-05,+0.001195,2.3211e-01
0,0,18,2,3,61,71,0.000357,2.5946e-01,50.0040,4.005e-05,+0.002230,2.5729e-02
0,0,19,2,3,67,73,0.000192,5.4467e-01,50.0020,1.986e-05,-0.000030,9.7610e-01
0,1,2,3,5,5,7,0.000495,1.1741e-01,50.0062,6.206e-05,+0.000509,6.1100e-01
0,1,3,3,5,7,11,0.000400,2.0619e-01,49.9939,6.056e-05,-0.001370,1.7070e-01
0,1,4,3,5,8,13,0.000502,1.1267e-01,49.9981,1.939e-05,-0.000563,5.7333e-01
0,1,5,3,5,11,17,0.000439,1.6519e-01,49.9966,3.388e-05,+0.001157,2.4728e-01
0,1,6,3,5,13,19,0.000185,5.5953e-01,49.9993,6.587e-06,+0.002413,1.5828e-02
0,1,7,3,5,17,23,0.000576,6.8530e-02,49.9926,7.406e-05,+0.000851,3.9503e-01
0,1,8,3,5,19,29,0.000014,9.6410e-01,50.0073,7.335e-05,-0.000632,5.2731e-01
0,1,9,3,5,23,31,0.000061,8.4696e-01,49.9906,9.434e-05,-0.000887,3.7495e-01
0,1,10,3,5,29,37,0.000022,9.4430e-01,49.9946,5.385e-05,-0.000717,4.7328e-01
0,1,11,3,5,31,41,0.000496,1.1669e-01,49.9959,4.054e-05,+0.000672,5.0153e-01
0,1,12,3,5,37,43,0.000391,2.1621e-01,49.9958,4.166e-05,-0.000802,4.2274e-01
0,1,13,3,5,41,47,0.000726,2.1757e-02,49.9908,9.184e-05,-0.000379,7.0494e-01
0,1,14,3,5,43,53,0.000201,5.2532e-01,49.9978,2.199e-05,-0.002381,1.7283e-02
0,1,15,3,5,47,59,0.000255,4.2043e-01,49.9982,1.764e-05,-0.000404,6.8632e-01
0,1,16,3,5,53,61,0.000267,3.9780e-01,49.9937,6.288e-05,-0.001052,2.9298e-01
0,1,17,3,5,59,67,0.000008,9.8040e-01,49.9944,5.648e-05,+0.000507,6.1193e-01
0,1,18,3,5,61,71,0.000430,1.7402e-01,49.9998,2.150e-06,-0.000643,5.2011e-01
0,1,19,3,5,67,73,0.000419,1.8484e-01,50.0051,5.096e-05,-0.001710,8.7216e-02
0,2,3,5,7,7,11,0.000207,5.1182e-01,49.9952,4.835e-05,+0.000749,4.5370e-01
0,2,4,5,7,8,13,0.000424,1.7958e-01,50.0031,3.065e-05,-0.000032,9.7409e-01
0,2,5,5,7,11,17,0.000112,7.2224e-01,50.0018,1.829e-05,+0.000994,3.2033e-01
0,2,6,5,7,13,19,0.000416,1.8836e-01,50.0148,1.483e-04,+0.000892,3.7256e-01
0,2,7,5,7,17,23,0.000549,8.2343e-02,49.9925,7.515e-05,+0.001084,2.7818e-01
0,2,8,5,7,19,29,0.000023,9.4127e-01,49.9989,1.076e-05,-0.001050,2.9373e-01
0,2,9,5,7,23,31,0.000382,2.2677e-01,49.9987,1.345e-05,+0.000687,4.9232e-01
0,2,10,5,7,29,37,0.000147,6.4314e-01,50.0041,4.066e-05,-0.001130,2.5866e-01
0,2,11,5,7,31,41,0.000317,3.1615e-01,49.9984,1.605e-05,-0.001644,1.0009e-01
0,2,12,5,7,37,43,0.000141,6.5470e-01,49.9899,1.009e-04,+0.000996,3.1918e-01
0,2,13,5,7,41,47,0.000219,4.8956e-01,50.0038,3.850e-05,-0.000777,4.3697e-01
0,2,14,5,7,43,53,0.000085,7.8875e-01,50.0034,3.355e-05,+0.000778,4.3629e-01
0,2,15,5,7,47,59,0.000411,1.9373e-01,49.9991,8.700e-06,+0.000596,5.5148e-01
0,2,16,5,7,53,61,0.000147,6.4139e-01,49.9983,1.701e-05,+0.000597,5.5078e-01
0,2,17,5,7,59,67,0.000236,4.5497e-01,50.0041,4.059e-05,-0.000404,6.8589e-01
