p,q,update,lambda1,lambda2
2,3,jacobi,3.0712,2.1173
3,5,jacobi,3.5864,2.7643
5,7,jacobi,3.9143,2.8499
7,11,jacobi,4.3783,3.4809
8,13,jacobi,4.5433,3.6888
11,17,jacobi,4.8140,3.8929
13,19,jacobi,4.9220,3.9194
17,23,jacobi,5.1080,3.9590
19,29,jacobi,5.3462,4.4104
23,31,jacobi,5.4013,4.2505
29,37,jacobi,5.5702,4.2813
31,41,jacobi,5.6807,4.4825
37,43,jacobi,5.7005,4.0562
41,47,jacobi,5.7837,4.0677
43,53,jacobi,5.9239,4.5276
47,59,jacobi,6.0354,4.6972
53,61,jacobi,6.0423,4.3578
59,67,jacobi,6.1314,4.3679
61,71,jacobi,6.1993,4.5687
67,73,jacobi,6.1998,4.1162
