seed_idx,i,j,pi,qi,pj,qj,abs_r_bytes,p_bytes,hamming_pct,ham_dev,r_cos1_raw,p_raw
0,0,1,2,3,3,5,0.000468,1.3930e-01,49.9944,5.553e-05,+0.001632,1.0272e-01
0,0,2,2,3,5,7,0.000185,5.5782e-01,49.9996,3.713e-06,-0.000712,4.7620e-01
0,0,3,2,3,7,11,0.000095,7.6321e-01,49.9954,4.616e-05,+0.001974,4.8419e-02
0,0,4,2,3,8,13,0.000088,7.8170e-01,49.9938,6.196e-05,+0.000505,6.1372e-01
0,0,5,2,3,11,17,0.000021,9.4754e-01,49.9962,3.782e-05,-0.000985,3.2445e-01
0,0,6,2,3,13,19,0.000026,9.3344e-01,49.9988,1.247e-05,+0.001485,1.3752e-01
0,0,7,2,3,17,23,0.000337,2.8650e-01,50.0068,6.826e-05,-0.000459,6.4656e-01
0,0,8,2,3,19,29,0.000303,3.3780e-01,50.0044,4.376e-05,+0.001237,2.1619e-01
0,0,9,2,3,23,31,0.000046,8.8378e-01,50.0059,5.934e-05,-0.000803,4.2225e-01
0,0,10,2,3,29,37,0.000013,9.6614e-01,49.9839,1.607e-04,+0.000775,4.3852e-01
0,0,11,2,3,31,41,0.000143,6.5220e-01,50.0041,4.138e-05,+0.000154,8.7757e-01
0,0,12,2,3,37,43,0.000186,5.5548e-01,49.9990,1.040e-05,-0.000032,9.7485e-01
0,0,13,2,3,41,47,0.000222,4.8240e-01,49.9959,4.094e-05,-0.000373,7.0881e-01
0,0,14,2,3,43,53,0.000035,9.1222e-01,50.0004,3.650e-06,-0.000196,8.4492e-01
0,0,15,2,3,47,59,0.000681,3.1261e-02,50.0080,8.030e-05,-0.000573,5.6661e-01
0,0,16,2,3,53,61,0.000501,1.1337e-01,49.9904,9.555e-05,+0.000250,8.0249e-01
0,0,17,2,3,59,67,0.000057,8.5590e-01,49.9976,2.361e-05,-0.000082,9.3454e-01
0,0,18,2,3,61,71,0.000028,9.3001e-01,50.0001,1.088e-06,-0.000602,5.4726e-01
0,0,19,2,3,67,73,0.000498,1.1496e-01,49.9905,9.486e-05,+0.000253,8.0063e-01
0,1,2,3,5,5,7,0.000054,8.6388e-01,49.9902,9.781e-05,+0.000112,9.1120e-01
0,1,3,3,5,7,11,0.000031,9.2146e-01,50.0031,3.134e-05,-0.000933,3.5087e-01
0,1,4,3,5,8,13,0.000169,5.9374e-01,50.0055,5.521e-05,+0.000386,6.9986e-01
0,1,5,3,5,11,17,0.000126,6.8996e-01,50.0053,5.347e-05,+0.001176,2.3941e-01
0,1,6,3,5,13,19,0.000460,1.4589e-01,49.9835,1.654e-04,+0.001970,4.8878e-02
0,1,7,3,5,17,23,0.000102,7.4764e-01,49.9912,8.824e-05,+0.000068,9.4580e-01
0,1,8,3,5,19,29,0.000565,7.3733e-02,50.0073,7.336e-05,+0.000801,4.2334e-01
0,1,9,3,5,23,31,0.000426,1.7827e-01,50.0025,2.474e-05,+0.002570,1.0171e-02
0,1,10,3,5,29,37,0.000503,1.1150e-01,49.9927,7.258e-05,-0.001472,1.4111e-01
0,1,11,3,5,31,41,0.000092,7.7037e-01,49.9925,7.533e-05,-0.000219,8.2656e-01
0,1,12,3,5,37,43,0.000309,3.2896e-01,50.0057,5.715e-05,-0.000626,5.3117e-01
0,1,13,3,5,41,47,0.000000,9.9885e-01,50.0064,6.359e-05,-0.000174,8.6205e-01
0,1,14,3,5,43,53,0.000227,4.7260e-01,50.0020,1.985e-05,+0.001295,1.9549e-01
0,1,15,3,5,47,59,0.000343,2.7767e-01,50.0079,7.857e-05,+0.000556,5.7827e-01
0,1,16,3,5,53,61,0.000503,1.1193e-01,49.9948,5.215e-05,-0.000117,9.0709e-01
0,1,17,3,5,59,67,0.000310,3.2759e-01,50.0002,1.863e-06,-0.000155,8.7691e-01
0,1,18,3,5,61,71,0.000073,8.1782e-01,50.0013,1.319e-05,-0.001684,9.2253e-02
0,1,19,3,5,67,73,0.000112,7.2208e-01,49.9951,4.929e-05,-0.000594,5.5259e-01
0,2,3,5,7,7,11,0.000028,9.2926e-01,49.9999,6.000e-07,+0.000485,6.2791e-01
0,2,4,5,7,8,13,0.000059,8.5143e-01,49.9954,4.623e-05,-0.000236,8.1360e-01
0,2,5,5,7,11,17,0.000236,4.5633e-01,50.0053,5.269e-05,+0.000129,8.9775e-01
0,2,6,5,7,13,19,0.000106,7.3778e-01,50.0038,3.841e-05,-0.000958,3.3818e-01
0,2,7,5,7,17,23,0.000298,3.4610e-01,49.9996,4.050e-06,+0.000221,8.2520e-01
0,2,8,5,7,19,29,0.000025,9.3688e-01,50.0068,6.820e-05,+0.000291,7.7107e-01
0,2,9,5,7,23,31,0.000275,3.8478e-01,49.9954,4.582e-05,+0.000648,5.1730e-01
