K,seed,lambda1,lambda2,l1_se,l2_se
0.5,12345678901234,-0.4481,-0.5327,0.0002,0.0002
0.5,98765432109876,-0.4481,-0.5327,0.0002,0.0002
0.5,31415926535897,-0.4481,-0.5327,0.0002,0.0002
1.0,12345678901234,0.8166,0.2404,0.0002,0.0003
1.0,98765432109876,0.8160,0.2406,0.0002,0.0003
1.0,31415926535897,0.8159,0.2408,0.0002,0.0003
2.0,12345678901234,1.6242,0.5757,0.0003,0.0003
2.0,98765432109876,1.6247,0.5752,0.0003,0.0003
2.0,31415926535897,1.6251,0.5750,0.0003,0.0003
5.0,12345678901234,3.2653,0.7830,0.0004,0.0002
5.0,98765432109876,3.2649,0.7830,0.0004,0.0002
5.0,31415926535897,3.2655,0.7831,0.0004,0.0002
8.0,12345678901234,4.1820,0.7995,0.0004,0.0002
8.0,98765432109876,4.1812,0.7998,0.0004,0.0002
8.0,31415926535897,4.1824,0.7997,0.0004,0.0002
12.0,12345678901234,4.9705,0.8058,0.0004,0.0002
12.0,98765432109876,4.9705,0.8060,0.0004,0.0002
12.0,31415926535897,4.9708,0.8060,0.0004,0.0002
20.0,12345678901234,5.9966,0.8091,0.0004,0.0001
20.0,98765432109876,5.9965,0.8090,0.0004,0.0001
20.0,31415926535897,5.9963,0.8091,0.0004,0.0001
50.0,12345678901234,7.8238,0.8107,0.0004,0.0001
50.0,98765432109876,7.8236,0.8106,0.0004,0.0001
50.0,31415926535897,7.8237,0.8108,0.0004,0.0001
