p,q,K,KB,t,r_ens
2,3,0.300,0.310,10001,0.378872
2,3,0.300,0.310,10002,0.371789
2,3,0.300,0.310,10003,0.373243
2,3,0.300,0.310,10004,0.376968
2,3,0.300,0.310,10005,0.373602
2,3,0.300,0.310,10006,0.370247
2,3,0.300,0.310,10007,0.372906
2,3,0.300,0.310,10008,0.375878
2,3,0.300,0.310,10009,0.373375
2,3,0.300,0.310,10010,0.370984
2,3,0.300,0.310,10011,0.375148
2,3,0.300,0.310,10012,0.377932
2,3,0.300,0.310,10013,0.373231
2,3,0.300,0.310,10014,0.372962
2,3,0.300,0.310,10015,0.378731
2,3,0.300,0.310,10016,0.376570
2,3,0.300,0.310,10017,0.371644
2,3,0.300,0.310,10018,0.374372
2,3,0.300,0.310,10019,0.375796
2,3,0.300,0.310,10020,0.370705
2,3,0.300,0.310,10021,0.367538
2,3,0.300,0.310,10022,0.368576
2,3,0.300,0.310,10023,0.366794
2,3,0.300,0.310,10024,0.360669
2,3,0.300,0.310,10025,0.358001
2,3,0.300,0.310,10026,0.358977
2,3,0.300,0.310,10027,0.353823
2,3,0.300,0.310,10028,0.347020
2,3,0.300,0.310,10029,0.348647
2,3,0.300,0.310,10030,0.347794
2,3,0.300,0.310,10031,0.338617
2,3,0.300,0.310,10032,0.335689
2,3,0.300,0.310,10033,0.339541
2,3,0.300,0.310,10034,0.334479
2,3,0.300,0.310,10035,0.325861
2,3,0.300,0.310,10036,0.327348
2,3,0.300,0.310,10037,0.329069
2,3,0.300,0.310,10038,0.322500
2,3,0.300,0.310,10039,0.316711
2,3,0.300,0.310,10040,0.318717
2,3,0.300,0.310,10041,0.319241
2,3,0.300,0.310,10042,0.311390
2,3,0.300,0.310,10043,0.307241
2,3,0.300,0.310,10044,0.310826
2,3,0.300,0.310,10045,0.308312
2,3,0.300,0.310,10046,0.299723
2,3,0.300,0.310,10047,0.299169
2,3,0.300,0.310,10048,0.301880
2,3,0.300,0.310,10049,0.296108
2,3,0.300,0.310,10050,0.289989
2,3,0.300,0.310,10051,0.291474
2,3,0.300,0.310,10052,0.291593
2,3,0.300,0.310,10053,0.285790
2,3,0.300,0.310,10054,0.282096
2,3,0.300,0.310,10055,0.283814
2,3,0.300,0.310,10056,0.283688
2,3,0.300,0.310,10057,0.277681
2,3,0.300,0.310,10058,0.275834
2,3,0.300,0.310,10059,0.280408
2,3,0.300,0.310,10060,0.277966
2,3,0.300,0.310,10061,0.272288
2,3,0.300,0.310,10062,0.275982
2,3,0.300,0.310,10063,0.278945
2,3,0.300,0.310,10064,0.273984
2,3,0.300,0.310,10065,0.273453
2,3,0.300,0.310,10066,0.277750
2,3,0.300,0.310,10067,0.276579
2,3,0.300,0.310,10068,0.273051
2,3,0.300,0.310,10069,0.274521
