pair,p,q,K,KB,n,t0,W,max_abs_r_ens,rms_r_ens,r_ens_first,r_ens_last,mean_ln_d_end,floor_3sigma
sameTopo_dK,2,3,0.300,0.310,2048,10000,200,0.379856,0.233804,0.379856,0.054333,0.5519,0.066291
sameTopo_dK,3,5,0.300,0.310,2048,10000,200,0.150627,0.069386,-0.091847,0.141351,0.6735,0.066291
crossTopo_sameK,2,3,0.300,0.300,2048,10000,200,0.801449,0.521527,-0.759667,-0.628843,0.8512,0.066291
sameTopo_dK,2,3,0.320,0.330,2048,10000,200,0.449281,0.219027,0.054630,-0.322973,1.2296,0.066291
sameTopo_dK,3,5,0.320,0.330,2048,10000,200,0.046574,0.018849,0.012103,-0.010662,0.7700,0.066291
crossTopo_sameK,2,3,0.320,0.320,2048,10000,200,0.036913,0.018210,-0.027174,-0.012714,0.7789,0.066291
sameTopo_dK,2,3,0.340,0.350,2048,10000,200,0.874683,0.473281,0.874683,-0.081668,1.1051,0.066291
sameTopo_dK,3,5,0.340,0.350,2048,10000,200,0.038793,0.016215,0.013465,0.008226,0.7874,0.066291
crossTopo_sameK,2,3,0.340,0.340,2048,10000,200,0.031798,0.015518,-0.022222,-0.015411,0.7935,0.066291
sameTopo_dK,2,3,0.360,0.370,2048,10000,200,0.984839,0.980098,0.981771,0.981791,-3.1123,0.066291
sameTopo_dK,3,5,0.360,0.370,2048,10000,200,0.359857,0.340575,0.356695,0.349241,0.1093,0.066291
crossTopo_sameK,2,3,0.360,0.360,2048,10000,200,0.295118,0.207905,-0.278982,0.240202,0.5757,0.066291
sameTopo_dK,2,3,0.380,0.390,2048,10000,200,0.990762,0.989677,0.989780,0.988439,-3.9883,0.066291
sameTopo_dK,3,5,0.380,0.390,2048,10000,200,0.359239,0.348120,0.335943,0.349106,0.1661,0.066291
crossTopo_sameK,2,3,0.380,0.380,2048,10000,200,0.675276,0.492625,-0.587052,0.614660,0.3686,0.066291
sameTopo_dK,2,3,0.400,0.410,2048,10000,200,0.995192,0.989235,0.984952,0.984092,-4.3830,0.066291
sameTopo_dK,3,5,0.400,0.410,2048,10000,200,0.062436,0.019102,0.026043,0.032574,0.7557,0.066291
