pair,pA,qA,KA,pB,qB,KB,r_ens,mean_ln_d_ens,frac_d_gt_1,r0,rlag_max64,MI_MM_bits,chi2_z,R_alpha_A,period_A,lambda1_A
sameTopo_dK,2,3,0.300,2,3,0.310,0.379328,0.5803,0.9990,-0.002380,0.003962,-0.00622,-19.67,0.9489,0,-0.0000
sameTopo_dK,3,5,0.300,3,5,0.310,-0.092479,0.8467,0.9185,-0.002733,0.014008,-0.00090,-2.84,0.7889,0,-0.0148
crossTopo_sameK,2,3,0.300,3,5,0.300,-0.763959,1.0217,1.0000,0.000219,0.000725,-0.00617,-19.50,0.9489,0,-0.0000
sameTopo_dK,2,3,0.320,2,3,0.330,0.071334,1.0117,1.0000,-0.005809,0.006753,-0.00463,-14.66,0.9346,0,-0.0000
sameTopo_dK,3,5,0.320,3,5,0.330,-0.003423,0.7521,0.9380,-0.021709,0.022801,0.00134,4.09,0.7409,0,0.1186
crossTopo_sameK,2,3,0.320,3,5,0.320,-0.006354,0.7778,0.9170,0.001649,0.004044,-0.00164,-5.21,0.9346,0,-0.0000
sameTopo_dK,2,3,0.340,2,3,0.350,0.876192,-0.3013,0.3384,0.000473,0.000605,-0.00553,-17.57,0.9171,0,-0.0000
sameTopo_dK,3,5,0.340,3,5,0.350,0.008580,0.7467,0.9194,0.002604,0.031991,0.00135,4.10,0.5180,0,0.2709
crossTopo_sameK,2,3,0.340,3,5,0.340,-0.021158,0.7826,0.9214,-0.004551,0.005657,0.00042,1.30,0.9171,0,-0.0000
sameTopo_dK,2,3,0.360,2,3,0.370,0.976896,-3.1501,0.0410,0.999843,0.999843,3.90699,70700.78,0.9006,15,-0.0580
sameTopo_dK,3,5,0.360,3,5,0.370,0.343491,0.1169,0.7822,-0.999569,0.999569,4.58513,70694.41,0.7818,24,-0.5399
crossTopo_sameK,2,3,0.360,3,5,0.360,-0.265179,0.9062,0.9595,0.000061,0.000313,1.58437,7868.42,0.9006,15,-0.0580
sameTopo_dK,2,3,0.380,2,3,0.390,0.989403,-4.0616,0.0215,0.999961,0.999961,3.90699,70700.78,0.8890,15,-0.1347
sameTopo_dK,3,5,0.380,3,5,0.390,0.347178,0.1670,0.8179,0.376668,0.925847,3.99747,42374.19,0.6378,24,-0.0175
crossTopo_sameK,2,3,0.380,3,5,0.380,-0.558961,1.1124,0.9980,0.000068,0.000313,1.58437,7868.42,0.8890,15,-0.1347
sameTopo_dK,2,3,0.400,2,3,0.410,0.992094,-4.5035,0.0200,0.999968,0.999968,3.90699,70700.78,0.8719,15,-0.1982
sameTopo_dK,3,5,0.400,3,5,0.410,0.006262,0.7516,0.9268,0.004829,0.014251,0.00068,2.10,0.3551,0,0.3613
crossTopo_sameK,2,3,0.400,3,5,0.400,0.029391,0.7605,0.9170,-0.001147,0.003707,-0.00041,-1.93,0.8719,15,-0.1982
