# Paper 3 Fig. 3 data — seed 12345678901234, K=12.0, N=10000000 bytes/channel, Pearson r on byte values
i,j,(pi,qi),(pj,qj),r
0,1,(2;3),(3;5),-0.000179465
0,2,(2;3),(5;7),-0.000419255
0,3,(2;3),(7;11),-0.000185509
0,4,(2;3),(8;13),0.000202803
0,5,(2;3),(11;17),0.000153128
0,6,(2;3),(13;19),-0.000188869
0,7,(2;3),(17;23),0.000111361
0,8,(2;3),(19;29),0.000080019
0,9,(2;3),(23;31),0.000018651
0,10,(2;3),(29;37),0.000390313
0,11,(2;3),(31;41),0.000180301
0,12,(2;3),(37;43),-0.000215964
0,13,(2;3),(41;47),-0.000280612
0,14,(2;3),(43;53),0.000071268
0,15,(2;3),(47;59),-0.000200593
0,16,(2;3),(53;61),-0.000108182
0,17,(2;3),(59;67),-0.000395488
0,18,(2;3),(61;71),0.000356600
0,19,(2;3),(67;73),-0.000191559
1,2,(3;5),(5;7),-0.000495128
1,3,(3;5),(7;11),0.000399746
1,4,(3;5),(8;13),0.000501637
1,5,(3;5),(11;17),0.000438871
1,6,(3;5),(13;19),-0.000184532
1,7,(3;5),(17;23),0.000576011
1,8,(3;5),(19;29),-0.000014234
1,9,(3;5),(23;31),0.000061032
1,10,(3;5),(29;37),0.000022095
1,11,(3;5),(31;41),0.000496111
1,12,(3;5),(37;43),0.000391070
1,13,(3;5),(41;47),0.000725611
1,14,(3;5),(43;53),-0.000200857
1,15,(3;5),(47;59),0.000254778
1,16,(3;5),(53;61),0.000267389
1,17,(3;5),(59;67),0.000007770
1,18,(3;5),(61;71),0.000429879
1,19,(3;5),(67;73),0.000419313
2,3,(5;7),(7;11),0.000207447
2,4,(5;7),(8;13),-0.000424392
2,5,(5;7),(11;17),-0.000112408
2,6,(5;7),(13;19),-0.000415977
2,7,(5;7),(17;23),0.000549367
2,8,(5;7),(19;29),-0.000023299
2,9,(5;7),(23;31),0.000382227
2,10,(5;7),(29;37),-0.000146514
2,11,(5;7),(31;41),0.000316989
2,12,(5;7),(37;43),-0.000141428
2,13,(5;7),(41;47),0.000218518
2,14,(5;7),(43;53),0.000084729
2,15,(5;7),(47;59),0.000410981
2,16,(5;7),(53;61),-0.000147285
2,17,(5;7),(59;67),0.000236270
2,18,(5;7),(61;71),-0.000198255
2,19,(5;7),(67;73),-0.000173672
3,4,(7;11),(8;13),-0.000242026
3,5,(7;11),(11;17),-0.000784518
3,6,(7;11),(13;19),0.000267650
3,7,(7;11),(17;23),-0.000355135
3,8,(7;11),(19;29),0.000144916
3,9,(7;11),(23;31),-0.000760247
3,10,(7;11),(29;37),0.000077989
3,11,(7;11),(31;41),0.000067557
3,12,(7;11),(37;43),-0.000085146
3,13,(7;11),(41;47),0.000524098
3,14,(7;11),(43;53),-0.000218048
3,15,(7;11),(47;59),0.000500340
3,16,(7;11),(53;61),0.000345379
3,17,(7;11),(59;67),-0.000282768
3,18,(7;11),(61;71),0.000048723
3,19,(7;11),(67;73),0.000142998
4,5,(8;13),(11;17),-0.000034941
4,6,(8;13),(13;19),0.000276523
4,7,(8;13),(17;23),0.000355446
4,8,(8;13),(19;29),0.000501630
4,9,(8;13),(23;31),0.000634373
4,10,(8;13),(29;37),-0.000165380
4,11,(8;13),(31;41),-0.000228169
4,12,(8;13),(37;43),-0.000153257
4,13,(8;13),(41;47),0.000261427
4,14,(8;13),(43;53),-0.000535542
4,15,(8;13),(47;59),-0.000354952
4,16,(8;13),(53;61),0.000006771
4,17,(8;13),(59;67),0.000040247
4,18,(8;13),(61;71),0.000009049
4,19,(8;13),(67;73),0.000140559
5,6,(11;17),(13;19),0.000178693
5,7,(11;17),(17;23),0.000168913
