p,q,K,lambda1,W_unwrapped,R_alpha,R_theta1,R_theta2,period,chi2_bytes
2,3,0.30,-0.0000,1.500001,0.9489,0.0000,0.0000,0,255.0
2,3,0.32,-0.0000,1.500000,0.9346,0.0000,0.0000,0,248.5
2,3,0.34,-0.0000,1.499995,0.9171,0.0000,0.0000,0,241.2
2,3,0.36,-0.0580,1.499998,0.9006,0.0000,0.0000,15,8033333.3
2,3,0.38,-0.1347,1.499997,0.8890,0.0000,0.0000,15,8033333.3
2,3,0.40,-0.1982,1.499996,0.8719,0.0000,0.0000,15,10308877.5
2,3,0.42,-0.2620,1.499996,0.8502,0.0000,0.0000,15,8033333.3
2,3,0.44,-0.3257,1.499995,0.8237,0.0000,0.0000,15,8033333.3
2,3,0.46,-0.3846,1.499995,0.7917,0.0000,0.0000,15,8033333.3
2,3,0.48,-0.4434,1.499994,0.7532,0.0000,0.0000,15,8033333.3
2,3,0.50,-0.4481,1.499993,0.7076,0.0000,0.0000,15,9171122.5
2,3,0.52,-0.3336,1.499992,0.6556,0.0000,0.0000,15,8033333.3
2,3,0.54,-0.2467,1.499991,0.5996,0.0000,0.0000,15,8033333.3
2,3,0.56,-0.1624,1.499990,0.5429,0.0000,0.0000,15,8033333.3
2,3,0.58,-0.0675,1.499989,0.4889,0.0000,0.0000,15,8033333.3
2,3,0.60,-0.0653,1.499987,0.4467,0.0000,0.0000,30,8033333.3
2,3,0.62,-0.1532,1.499985,0.4235,0.0000,0.0000,30,10308877.5
2,3,0.64,-0.0081,1.499984,0.4022,0.0000,0.0000,30,8033333.3
2,3,0.66,-0.0616,1.499991,0.3765,0.0000,0.0000,60,4335544.2
2,3,0.68,-0.0450,1.499988,0.3426,0.0000,0.0000,60,4904370.5
2,3,0.70,-0.1845,1.499991,0.3264,0.0000,0.0000,60,4051122.5
2,3,0.72,-0.0108,1.499991,0.3143,0.0000,0.0000,60,4051105.4
2,3,0.74,-0.0659,1.499989,0.3025,0.0000,0.0000,60,4904438.8
2,3,0.76,0.3330,1.633835,0.2344,0.0013,0.0013,0,232.5
2,3,0.78,0.3409,1.738736,0.2185,0.0010,0.0004,0,265.1
2,3,0.80,0.4338,1.820135,0.1767,0.0027,0.0012,0,227.9
2,3,0.82,0.4617,1.774162,0.1731,0.0025,0.0014,0,237.3
2,3,0.84,0.4924,1.778905,0.1734,0.0005,0.0002,0,246.5
2,3,0.86,0.5200,1.771420,0.1718,0.0016,0.0014,0,256.4
2,3,0.88,0.5665,1.845771,0.1353,0.0005,0.0006,0,247.5
2,3,0.90,-0.3065,4.000073,0.3090,0.0000,0.0000,15,8033333.3
2,3,0.92,0.6386,2.137543,0.0700,0.0014,0.0007,0,274.4
2,3,0.94,0.6817,2.148256,0.0603,0.0017,0.0016,0,237.9
2,3,0.96,0.7393,2.131385,0.0802,0.0017,0.0009,0,239.3
2,3,0.98,0.7721,2.102681,0.0820,0.0034,0.0009,0,251.4
2,3,1.00,0.8194,2.210921,0.0934,0.0023,0.0013,0,248.2
3,5,0.30,-0.0148,1.666663,0.7889,0.0000,0.0000,0,106379.4
3,5,0.32,0.1186,1.666672,0.7409,0.0006,0.0001,0,268.5
3,5,0.34,0.2709,1.765048,0.5180,0.0002,0.0003,0,225.9
3,5,0.36,-0.5399,1.666673,0.7818,0.0000,0.0000,24,11944430.2
