   diehard_birthdays|   0|       100|     100|0.56737324|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.58442369|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.17373349|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.38089655|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.18501472|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.62001588|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.35235135|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.68219063|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.12954786|  PASSED  
         sts_monobit|   1|    100000|     100|0.69738109|  PASSED  
            sts_runs|   2|    100000|     100|0.22501289|  PASSED  
          sts_serial|   1|    100000|     100|0.69738109|  PASSED  
          sts_serial|   2|    100000|     100|0.95803035|  PASSED  
          sts_serial|   3|    100000|     100|0.89377129|  PASSED  
          sts_serial|   3|    100000|     100|0.91679227|  PASSED  
          sts_serial|   4|    100000|     100|0.23286479|  PASSED  
          sts_serial|   4|    100000|     100|0.32512255|  PASSED  
          sts_serial|   5|    100000|     100|0.94294001|  PASSED  
          sts_serial|   5|    100000|     100|0.24859024|  PASSED  
          sts_serial|   6|    100000|     100|0.25201466|  PASSED  
          sts_serial|   6|    100000|     100|0.27307476|  PASSED  
          sts_serial|   7|    100000|     100|0.87739443|  PASSED  
          sts_serial|   7|    100000|     100|0.99332071|  PASSED  
          sts_serial|   8|    100000|     100|0.05148652|  PASSED  
          sts_serial|   8|    100000|     100|0.49532479|  PASSED  
          sts_serial|   9|    100000|     100|0.87999520|  PASSED  
          sts_serial|   9|    100000|     100|0.97063095|  PASSED  
          sts_serial|  10|    100000|     100|0.55217496|  PASSED  
          sts_serial|  10|    100000|     100|0.74241236|  PASSED  
          sts_serial|  11|    100000|     100|0.42850348|  PASSED  
          sts_serial|  11|    100000|     100|0.64484429|  PASSED  
          sts_serial|  12|    100000|     100|0.02893315|  PASSED  
          sts_serial|  12|    100000|     100|0.00926416|  PASSED  
          sts_serial|  13|    100000|     100|0.02283498|  PASSED  
          sts_serial|  13|    100000|     100|0.17823613|  PASSED  
          sts_serial|  14|    100000|     100|0.00175348|   WEAK   
          sts_serial|  14|    100000|     100|0.28110833|  PASSED  
          sts_serial|  15|    100000|     100|0.04084448|  PASSED  
          sts_serial|  15|    100000|     100|0.67573395|  PASSED  
          sts_serial|  16|    100000|     100|0.48210498|  PASSED  
          sts_serial|  16|    100000|     100|0.76277656|  PASSED  
        diehard_runs|   0|    100000|     100|0.41525825|  PASSED  
        diehard_runs|   0|    100000|     100|0.10616309|  PASSED  
