engine md5 5d8b49ee11aa0bfb8b0bda3f47fa16e3 | sidecar md5 dd5040376465876a86065bd498b98db1 | 2026-09-03 14:46:56 | arm64 14.5
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  3.68e+06  |2981900185|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.59320106|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.31597804|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.93088274|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.33035466|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.40954515|  PASSED  
        diehard_opso|   0|   2097152|     100|0.43837457|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.49632559|  PASSED  
         diehard_dna|   0|   2097152|     100|0.28095993|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.59688136|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.29780827|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.31899023|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.14667722|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.25366463|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.65981587|  PASSED  
        diehard_sums|   0|       100|     100|0.16854309|  PASSED  
        diehard_runs|   0|    100000|     100|0.49490055|  PASSED  
        diehard_runs|   0|    100000|     100|0.26261329|  PASSED  
       diehard_craps|   0|    200000|     100|0.79114101|  PASSED  
       diehard_craps|   0|    200000|     100|0.96441626|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.63640904|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.20627905|  PASSED  
         sts_monobit|   1|    100000|     100|0.04262808|  PASSED  
            sts_runs|   2|    100000|     100|0.23782966|  PASSED  
          sts_serial|   1|    100000|     100|0.56147545|  PASSED  
          sts_serial|   2|    100000|     100|0.03843054|  PASSED  
          sts_serial|   3|    100000|     100|0.12923478|  PASSED  
          sts_serial|   3|    100000|     100|0.55831450|  PASSED  
          sts_serial|   4|    100000|     100|0.62188088|  PASSED  
          sts_serial|   4|    100000|     100|0.73233502|  PASSED  
          sts_serial|   5|    100000|     100|0.26881324|  PASSED  
          sts_serial|   5|    100000|     100|0.92265571|  PASSED  
          sts_serial|   6|    100000|     100|0.22249094|  PASSED  
          sts_serial|   6|    100000|     100|0.66757618|  PASSED  
          sts_serial|   7|    100000|     100|0.52131124|  PASSED  
          sts_serial|   7|    100000|     100|0.87406041|  PASSED  
          sts_serial|   8|    100000|     100|0.95128683|  PASSED  
          sts_serial|   8|    100000|     100|0.42565723|  PASSED  
          sts_serial|   9|    100000|     100|0.72211865|  PASSED  
          sts_serial|   9|    100000|     100|0.89840813|  PASSED  
          sts_serial|  10|    100000|     100|0.37018243|  PASSED  
          sts_serial|  10|    100000|     100|0.52849384|  PASSED  
          sts_serial|  11|    100000|     100|0.19564397|  PASSED  
          sts_serial|  11|    100000|     100|0.16586322|  PASSED  
          sts_serial|  12|    100000|     100|0.78844359|  PASSED  
          sts_serial|  12|    100000|     100|0.86988578|  PASSED  
          sts_serial|  13|    100000|     100|0.37727005|  PASSED  
          sts_serial|  13|    100000|     100|0.10221768|  PASSED  
          sts_serial|  14|    100000|     100|0.51343556|  PASSED  
          sts_serial|  14|    100000|     100|0.27797948|  PASSED  
          sts_serial|  15|    100000|     100|0.73821098|  PASSED  
          sts_serial|  15|    100000|     100|0.85452669|  PASSED  
          sts_serial|  16|    100000|     100|0.60029847|  PASSED  
          sts_serial|  16|    100000|     100|0.12928615|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.26303583|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.07181015|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.22593059|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.46387382|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.37406913|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.85320949|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.97597796|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.95233241|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.22378569|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.06214756|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.75342814|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.58267375|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.54700315|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.33102456|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.02576884|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.28991442|  PASSED  
    rgb_permutations|   2|    100000|     100|0.34193225|  PASSED  
    rgb_permutations|   3|    100000|     100|0.13328310|  PASSED  
    rgb_permutations|   4|    100000|     100|0.35431961|  PASSED  
    rgb_permutations|   5|    100000|     100|0.35606822|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.97601602|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.70821026|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.03984287|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.39859846|  PASSED  
      rgb_lagged_sum|   4|   1000000|     100|0.22917551|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.95910794|  PASSED  
      rgb_lagged_sum|   6|   1000000|     100|0.88024962|  PASSED  
      rgb_lagged_sum|   7|   1000000|     100|0.04236661|  PASSED  
      rgb_lagged_sum|   8|   1000000|     100|0.81528389|  PASSED  
      rgb_lagged_sum|   9|   1000000|     100|0.14445467|  PASSED  
      rgb_lagged_sum|  10|   1000000|     100|0.60312773|  PASSED  
      rgb_lagged_sum|  11|   1000000|     100|0.61204531|  PASSED  
      rgb_lagged_sum|  12|   1000000|     100|0.14640165|  PASSED  
      rgb_lagged_sum|  13|   1000000|     100|0.79401292|  PASSED  
      rgb_lagged_sum|  14|   1000000|     100|0.59839448|  PASSED  
      rgb_lagged_sum|  15|   1000000|     100|0.57141526|  PASSED  
      rgb_lagged_sum|  16|   1000000|     100|0.74859438|  PASSED  
      rgb_lagged_sum|  17|   1000000|     100|0.55125244|  PASSED  
      rgb_lagged_sum|  18|   1000000|     100|0.22368149|  PASSED  
      rgb_lagged_sum|  19|   1000000|     100|0.97205312|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.59812651|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.59023195|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.59026962|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.92993100|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.07275989|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.93047260|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.72654325|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.93832626|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.89384800|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.12614390|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.87067821|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.38158328|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.39539171|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.00869408|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.06903802|  PASSED  
             dab_dct| 256|     50000|       1|0.32236489|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.78714129|  PASSED  
        dab_filltree|  32|  15000000|       1|0.86923974|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.57719959|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.97245491|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.77626872|  PASSED  
Preparing to run test 210.  ntuple = 0
      dab_birthdays1|  32|      2000|       1|0.64119731|  PASSED  
Preparing to run test 211.  ntuple = 0
           dab_opso2|   0|  67108864|       1|0.18857659|  PASSED  
           dab_opso2|   1|  67108864|       1|0.20269022|  PASSED  
